bus,region_name,beta_i,gfm_bess_capacity_GW,min_kappa,mean_kappa,p05_kappa,rank_beta
15,FR1 0,1.0,22.845902922676704,0.0,8.120488408686859e-15,0.0,1
18,GR1 0,1.0,40.10183314009429,-4.547473508864641e-13,-2.4361465226060576e-14,-4.547473508864641e-13,2
4,BE1 0,0.9940476190476191,50.52671526878539,0.0,1.7142857142857157,0.0,3
16,GB0 0,0.9940476190476191,34.51857815128285,-9.094947017729282e-13,16.739333994287417,0.0,4
14,FI2 0,0.9910714285714286,28.396064162736497,-2.2737367544323206e-13,1.3221204560429547,-2.2737367544323206e-13,5
35,SE2 0,0.9910714285714286,24.851317366287184,-4.547473508864641e-13,14.873069955151667,0.0,6
2,AT1 0,0.9821428571428571,38.2601175078337,0.0,35.58572595068533,0.0,7
8,DE1 0,0.9821428571428571,26.84918169259349,0.0,60.23315743141801,0.0,8
29,NL1 0,0.9791666666666666,33.75515329077025,-4.547473508864641e-13,46.509879845576314,0.0,9
12,ES1 0,0.9761904761904762,0.0,-2.2737367544323206e-13,46.98230519137903,0.0,10
9,DK1 0,0.9672619047619048,38.6,0.0,62.04864131418498,0.0,11
23,IT3 0,0.9613095238095238,35.1292680755675,-2.2737367544323206e-13,9.355633986935283,-2.2737367544323206e-13,12
6,CH1 0,0.9583333333333334,33.23871412003937,-4.547473508864641e-13,82.50106020130417,0.0,13
33,RO1 0,0.9553571428571429,43.01267706888373,-4.547473508864641e-13,46.17311225582293,-4.547473508864641e-13,14
20,HU1 0,0.9523809523809523,36.373334442235205,-2.2737367544323206e-13,57.162343238216714,-2.2737367544323206e-13,15
31,PL1 0,0.9375,62.345216302733604,-9.094947017729282e-13,202.08773340797822,-9.094947017729282e-13,16
22,IT1 0,0.9136904761904762,29.55703407196751,-9.094947017729282e-13,342.4748777825883,0.0,17
7,CZ1 0,0.9107142857142857,31.935027836706617,-2.2737367544323206e-13,149.70481535956148,-2.2737367544323206e-13,18
5,BG1 0,0.875,24.897306776574382,-2.2737367544323206e-13,156.65805776114064,0.0,19
17,GB5 0,0.6369047619047619,38.38675098551815,-4.547473508864641e-13,500.94210275642683,0.0,20
30,NO2 0,0.4851190476190476,13.229628806718392,0.0,1101.8356820777205,0.0,21
19,HR1 0,0.4494047619047619,14.856132921692796,-1.1368683772161603e-13,474.50714511254444,0.0,22
21,IE5 0,0.4107142857142857,29.651526810341075,-2.2737367544323206e-13,1003.8897089919509,-2.2737367544323206e-13,23
10,DK2 0,0.2261904761904762,22.644235968300254,0.0,705.2826574234126,0.0,24
24,LT6 0,0.13392857142857142,13.126968017222639,0.0,611.0892005042448,0.0,25
32,PT1 0,0.026785714285714284,0.0,-5.684341886080802e-14,475.59124968323454,490.51941468829716,26
34,RS1 0,0.023809523809523808,7.0670567829192805,0.0,508.097186742681,522.352839145964,27
36,SI1 0,0.01488095238095238,4.75,0.0,369.41964285714283,375.0,28
27,ME1 0,0.011904761904761904,2.31,0.0,147.09821428571428,150.0,29
37,SK1 0,0.008928571428571428,13.76,0.0,811.0692852544221,75.0,30
1,AL1 0,0.005952380952380952,0.001,0.0,85.90089285714281,85.05000000000001,31
3,BA1 0,0.005952380952380952,1.1,0.0,148.66071428571428,150.0,32
11,EE6 0,0.005952380952380952,10.623031982777363,0.0,512.869446763041,531.1515991388682,33
25,LU1 0,0.005952380952380952,10.85,0.0,652.6785714285714,375.0,34
26,LV6 0,0.005952380952380952,0.6,0.0,139.02535149244517,136.24306040822702,35
28,MK1 0,0.005952380952380952,3.0,0.0,143.46467809288612,75.0,36
13,ES4 0,0.002976190476190476,0.0,0.0,35.66703521038886,35.773503972210904,37
