row,BASE,gSCR_1,gSCR_GERSH
Cost (B€/a),0.0,174.77729222677635,345.80923086817296
BESS-GFM (GW),0.0,414.8031829821719,821.1497744732582
BESS-GFL (GW),0.0,0.002,0.001
Wind+PV (GW),0.0,0.05460000000000001,0.006700000000000006
Gas (GW),0.0,0.0,0.0
Min. mu_t,-172415.68203127332,-1858.9632164030609,-1.3848668464392223e-12
Violating snapshots (%),100.0,100.0,0.0
Min. gSCR,0.003233776493455415,0.9999999999999423,1.4999999999999512
Solve time (min),0.44740000168482463,5.739483332633972,0.5210166692733764
