scenario,min_global_margin,median_global_margin,mean_global_margin,max_global_margin,min_relative_margin,median_relative_margin,mean_relative_margin,violating_snapshot_percent,min_local_kappa,median_local_kappa,mean_local_kappa
BASE,-1.4967662235065446,-1.4949999999999999,-1.4950052566175795,-1.4949999999999999,-0.9978441490043631,-0.9966666666666666,-0.9966701710783857,100.0,-172947.0,-3546.5,-172932.17857142858
gSCR-GERSH,-4.884981308350689e-14,-4.440892098500626e-16,-7.143756485832108e-16,4.707345624410664e-14,-3.2566542055671256e-14,-2.9605947323337506e-16,-4.762504323888072e-16,0.0,-9.094947017729282e-13,0.0,-6.124201674884673e-13
gSCR-1,-0.5000000000000577,-0.5000000000000006,-0.5000000000000017,-0.4999999999999887,-0.33333333333337184,-0.3333333333333337,-0.3333333333333344,100.0,-2046.2191795209633,42.897671749927305,-2034.7603966375846
