snapshot,online_gfm_strength,online_gfl_exposure
1.0,5796.0,3015.253685092266
2.0,5796.0,3075.0056285401447
3.0,5890.0,3281.7113460912274
4.0,5890.0,3459.165445865998
5.0,5893.0,3589.1654458659987
6.0,5897.0,4560.695215633371
7.0,5984.0,4866.695215633371
8.0,6065.734900099457,4914.695215633371
9.0,6065.734900099457,4922.695215633371
10.0,6114.734900099457,4922.695215633371
11.0,6114.734900099457,4926.695215633371
12.0,6114.734900099457,4930.695215633371
13.0,6139.598902906137,4930.695215633371
14.0,6139.598902906137,5047.656375228891
15.0,6139.598902906137,5047.656375228891
16.0,6139.598902906137,5047.656375228891
17.0,6139.598902906137,5047.656375228891
18.0,6139.598902906137,5047.656375228891
19.0,6139.598902906137,5047.656375228891
20.0,6139.598902906137,5047.656375228891
21.0,6139.598902906137,5047.656375228891
22.0,6139.598902906137,5047.656375228891
23.0,6139.598902906137,5047.656375228891
24.0,6139.598902906137,5047.656375228891
25.0,6139.598902906137,5047.656375228891
26.0,6139.598902906137,5076.576375228891
27.0,6139.598902906137,5076.576375228891
28.0,6156.598902906137,5076.576375228891
29.0,6156.598902906137,5322.592737918916
30.0,6156.598902906137,5569.908820808492
31.0,6156.598902906137,5569.908820808492
32.0,6156.598902906137,5643.36468824144
33.0,6156.598902906137,5643.36468824144
34.0,6156.598902906137,5645.306118382208
35.0,6156.598902906137,5645.306118382208
36.0,6156.598902906137,5645.306118382208
37.0,6156.598902906137,5645.306118382208
38.0,6156.598902906137,5645.306118382208
39.0,6156.598902906137,5645.306118382208
40.0,6156.598902906137,5645.306118382208
41.0,6156.598902906137,5645.306118382208
42.0,6156.598902906137,5645.306118382208
43.0,6156.598902906137,5645.306118382208
44.0,6156.598902906137,5645.306118382208
45.0,6156.598902906137,5645.306118382208
46.0,6156.598902906137,5881.316711688845
47.0,6156.598902906137,5881.316711688845
48.0,6156.598902906137,5881.316711688845
49.0,6156.598902906137,5881.316711688845
50.0,6156.598902906137,5881.316711688845
51.0,6156.598902906137,5881.316711688845
52.0,6156.598902906137,5881.316711688845
53.0,6156.598902906137,5881.316711688845
54.0,6156.598902906137,5881.316711688845
55.0,6156.598902906137,5881.316711688845
56.0,6156.598902906137,5881.316711688845
57.0,6156.598902906137,5881.316711688845
58.0,6156.598902906137,5881.316711688845
59.0,6156.598902906137,5881.316711688845
60.0,6156.598902906137,5881.316711688845
61.0,6156.598902906137,5881.316711688845
62.0,6156.598902906137,5881.316711688845
63.0,6156.598902906137,5919.33810147534
64.0,6156.598902906137,5919.33810147534
65.0,6156.598902906137,5919.33810147534
66.0,6156.598902906137,5919.33810147534
67.0,6156.598902906137,5919.33810147534
68.0,6156.598902906137,5919.33810147534
69.0,6156.598902906137,5919.33810147534
70.0,6156.598902906137,5919.33810147534
71.0,6156.598902906137,5919.33810147534
72.0,6156.598902906137,5919.33810147534
73.0,6156.598902906137,5919.33810147534
74.0,6156.598902906137,5919.33810147534
75.0,6156.598902906137,5919.33810147534
76.0,6156.598902906137,5919.33810147534
77.0,6156.598902906137,5919.33810147534
78.0,6156.598902906137,5919.33810147534
79.0,6156.598902906137,5919.33810147534
80.0,6156.598902906137,5919.33810147534
81.0,6156.598902906137,5919.33810147534
82.0,6156.598902906137,5919.33810147534
83.0,6156.598902906137,5919.33810147534
84.0,6156.598902906137,5919.33810147534
85.0,6156.598902906137,5919.33810147534
86.0,6156.598902906137,5919.33810147534
87.0,6156.598902906137,5919.33810147534
88.0,6156.598902906137,5919.33810147534
89.0,6156.598902906137,5919.33810147534
90.0,6156.598902906137,5919.33810147534
91.0,6156.598902906137,5919.33810147534
92.0,6156.598902906137,5919.33810147534
93.0,6156.598902906137,5919.33810147534
94.0,6156.598902906137,5919.33810147534
95.0,6156.598902906137,5919.33810147534
96.0,6156.598902906137,5919.33810147534
97.0,6156.598902906137,5919.33810147534
98.0,6156.598902906137,5919.33810147534
99.0,6156.598902906137,5919.33810147534
100.0,6156.598902906137,5919.33810147534
101.0,6156.598902906137,5919.33810147534
102.0,6156.598902906137,5919.33810147534
103.0,6156.598902906137,5919.33810147534
104.0,6156.598902906137,5919.33810147534
105.0,6156.598902906137,5919.33810147534
106.0,6156.598902906137,5919.33810147534
107.0,6156.598902906137,5919.33810147534
108.0,6156.598902906137,5919.33810147534
109.0,6156.598902906137,5919.33810147534
110.0,6156.598902906137,5919.33810147534
111.0,6156.598902906137,5919.33810147534
112.0,6156.598902906137,5919.33810147534
113.0,6156.598902906137,5919.33810147534
114.0,6156.598902906137,5919.33810147534
115.0,6156.598902906137,5919.33810147534
116.0,6156.598902906137,5919.33810147534
117.0,6156.598902906137,5919.33810147534
118.0,6156.598902906137,5919.33810147534
119.0,6156.598902906137,5919.33810147534
120.0,6156.598902906137,5919.33810147534
121.0,6156.598902906137,5919.33810147534
122.0,6156.598902906137,5919.33810147534
123.0,6156.598902906137,5919.33810147534
