carrier,generation,storage_discharge,storage_charge
CCGT,1.047121618672316e6,0.0,0.0
OCGT,39681.82554240523,0.0,0.0
PHS,0.0,4.202293123309578e6,6501.841380095961
battery_gfl,0.0,0.0,3.552713678800501e-13
battery_gfm,0.0,0.0,0.0
biomass,76386.121892541,0.0,0.0
coal,358316.15873522265,0.0,0.0
geothermal,4600.0,0.0,0.0
hydro,0.0,1.6520762079509078e7,143971.06066181947
lignite,720261.3387887104,0.0,0.0
nuclear,2.299266112426186e6,0.0,0.0
offwind-ac,863942.155875443,0.0,0.0
offwind-dc,884423.7903346124,0.0,0.0
oil,42641.1574998834,0.0,0.0
onwind,1.746780619802935e7,0.0,0.0
ror,5.323048827320466e6,0.0,0.0
solar,1.792520066705746e7,0.0,0.0
