carrier,generation,storage_discharge,storage_charge
CCGT,2.2740934923782554e7,0.0,0.0
OCGT,45299.99999999994,0.0,0.0
PHS,0.0,5.105959788245125e6,1.2113907279608243e6
battery_gfl,0.0,0.0,4.263256414560603e-14
battery_gfm,0.0,5.0,4.999999999999883
biomass,2.411391701145476e6,0.0,0.0
coal,3.0911594518899657e6,0.0,0.0
geothermal,3719.9999999999936,0.0,0.0
hydro,0.0,1.650358987205299e7,143963.84346436724
lignite,5.64661231251051e6,0.0,0.0
nuclear,4.3010737687032595e6,0.0,0.0
offwind-ac,99242.86189602014,0.0,0.0
offwind-dc,-6.631732200427599e-13,0.0,0.0
oil,342549.88960606215,0.0,0.0
onwind,677428.0806686755,0.0,0.0
ror,7.119809045141261e6,0.0,0.0
solar,891861.1487345917,0.0,0.0
