snapshot,bus,margin,sigma0_G,battery_gfm_contribution
2.0,8.0,-2.2737367544323206e-13,1.1368683772161603e-13,0.0
8.0,15.0,-2.2737367544323206e-13,0.0,0.0
9.0,15.0,-2.2737367544323206e-13,0.0,0.0
4.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
5.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
6.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
7.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
8.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
9.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
11.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
12.0,36.0,-1.1368683772161603e-13,0.0,0.0
12.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
13.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
14.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
24.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
50.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
51.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
53.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
54.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
57.0,2.0,-1.1368683772161603e-13,5.684341886080802e-14,0.0
