snapshot,bus,margin,sigma0_G,battery_gfm_contribution
11.0,16.0,-4.547473508864641e-13,0.0,0.0
1.0,12.0,-2.2737367544323206e-13,0.0,0.0
85.0,33.0,-5.684341886080802e-14,0.0,-3.497767917969261e-14
112.0,7.0,-5.684341886080802e-14,0.0,7.105427357601002e-14
113.0,7.0,-5.684341886080802e-14,0.0,7.771561172376096e-14
114.0,7.0,-5.684341886080802e-14,0.0,7.771561172376096e-14
116.0,7.0,-5.684341886080802e-14,0.0,7.771561172376096e-14
8.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
9.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
10.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
11.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
12.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
13.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
14.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
15.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
16.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
17.0,20.0,-2.842170943040401e-14,-2.842170943040401e-14,0.0
128.0,23.0,-2.842170943040401e-14,0.0,78.77880969373473
129.0,23.0,-2.842170943040401e-14,0.0,78.77880969373473
130.0,23.0,-2.842170943040401e-14,0.0,78.77880969373473
