scenario_name,bus_id,bus_name,latitude,longitude,binding_frequency_beta,mean_kappa,min_kappa,BESS_GFM_GW,GFM_strength_installed,GFL_exposure_peak,RES_GW,note
gSCR-GERSH-1p0-INTEGER,30,NO2 0,,,0.25595238095238093,892.25,-746.5,0.5,1503.5,1500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,3,BA1 0,,,0.2261904761904762,54.24107142857143,-50.0,0.1,100.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,1,AL1 0,,,0.17857142857142858,74.49107142857144,-48.499999999999986,0.3,101.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,11,EE6 0,,,0.14583333333333334,44.0625,-20.0,1.1,55.0,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,28,MK1 0,,,0.08035714285714286,43.973214285714285,-25.0,1.0,50.0,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,9,DK1 0,,,0.06547619047619048,45.089285714285715,-25.0,0.6,50.0,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,17,GB5 0,,,0.002976190476190476,69.77678571428571,-47.5,1.1,102.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p0-INTEGER,13,ES4 0,,,0.0,30.0,30.0,0.0,30.0,0.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,9,DK1 0,,,0.8660714285714286,448.6607142857143,0.0,98.6,4950.0,3300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,29,NL1 0,,,0.8482142857142857,640.625,0.0,98.6,5475.0,3650.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,24,LT6 0,,,0.6607142857142857,50.892857142857146,0.0,1.1,150.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,21,IE5 0,,,0.5148809523809523,179.64285714285714,0.0,4.3,450.0,300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,11,EE6 0,,,0.24702380952380953,56.473214285714285,0.0,1.5,75.0,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,28,MK1 0,,,0.2113095238095238,59.151785714285715,0.0,1.5,75.0,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,26,LV6 0,,,0.1130952380952381,97.41071428571429,0.0,0.6,150.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,3,BA1 0,,,0.09226190476190477,113.83928571428571,0.0,1.1,150.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,1,AL1 0,,,0.0,114.66964285714286,1.5,1.3,151.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,2,AT1 0,,,0.0,179.23214285714286,2.0,1.0,902.0,600.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,4,BE1 0,,,0.0,439.8392857142857,1.0,99.0,5251.0,3500.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,5,BG1 0,,,0.0,126.49107142857143,3.5,0.5,228.5,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,6,CH1 0,,,0.0,383.6934523809524,3.5,0.5,1128.5,750.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,7,CZ1 0,,,0.0,87.6875,3.0,1.0,378.0,250.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,8,DE1 0,,,0.0,647.6428571428571,3.0,100.0,7053.0,4700.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,10,DK2 0,,,0.0,32.5,32.5,0.0,32.5,0.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,12,ES1 0,,,0.0,426.7767857142857,2.0,0.0,1952.0,1300.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,13,ES4 0,,,0.0,29.910714285714285,15.0,0.0,30.0,0.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,14,FI2 0,,,0.0,239.22321428571428,1.5,5.1,676.5,450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,15,FR1 0,,,0.0,1067.4017857142858,2.0,99.6,8327.0,5550.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,16,GB0 0,,,0.0,735.8660714285714,3.5,2.6,2703.5,1800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,17,GB5 0,,,0.0,42.1875,2.5,2.1,152.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,18,GR1 0,,,0.0,1926.2142857142858,3.0,99.4,5328.0,3550.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,19,HR1 0,,,0.0,79.11607142857143,3.0,0.5,153.0,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,20,HU1 0,,,0.0,63.767857142857125,3.4999999999999716,0.2,153.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,22,IT1 0,,,0.0,1182.4464285714287,2.0,0.8,2927.0,1950.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,23,IT3 0,,,0.0,1123.169642857143,2.5,83.1,4202.5,2800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,25,LU1 0,,,0.0,35.982142857142854,2.5,0.4,152.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,27,ME1 0,,,0.0,46.017857142857146,4.5,0.9,79.5,50.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,30,NO2 0,,,0.0,1642.607142857143,33.5,14.6,2208.5,1450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,31,PL1 0,,,0.0,62.607142857142854,1.0,99.5,5176.0,3450.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,32,PT1 0,,,0.0,100.65178571428571,4.0,0.0,529.0,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,33,RO1 0,,,0.0,259.5,22.0,1.7,547.0,350.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,34,RS1 0,,,0.0,78.10714285714283,3.9999999999999716,1.2,229.0,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,35,SE2 0,,,0.0,487.0357142857143,4.0,3.2,1204.0,800.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,36,SI1 0,,,0.0,91.78571428571429,2.5,0.3,152.5,100.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
gSCR-GERSH-1p5-INTEGER,37,SK1 0,,,0.0,79.90178571428571,2.0,0.3,227.0,150.0,,lat/lon missing; bus-level RES_GW unavailable in this campaign output
