scenario_name,optimization_g_min,posthoc_alpha_paper,solver_status,total_annual_system_cost_BEUR_per_year,delta_cost_vs_BASE_BEUR_per_year,delta_cost_vs_BASE_percent,BESS_GFM_GW,BESS_GFL_GW,RES_GW,wind_GW,PV_GW,CCGT_GW,OCGT_GW,gas_total_GW,min_mu_t_alpha_1p5,min_gSCR_t,violating_snapshots_percent_alpha_1p5,own_target_mu_t,solver_wallclock_min
BASE-INTEGER,0.0,1.5,OPTIMAL,7.23003125e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.7459915986271,2.9999999999999956,0.0,323.02301552427053,0.4022166689236959
gSCR-GERSH-1p0-INTEGER,1.0,1.5,OPTIMAL,7.23003125e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.74590977191215,2.999999999999998,0.0,259.6736270628912,1.0232833305994669
gSCR-GERSH-1p5-INTEGER,1.5,1.5,OPTIMAL,7.23003125e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.747225996884,2.999999999999997,0.0,222.747225996884,5.118016668160757
