carrier,generation,storage_discharge,storage_charge
CCGT,4.762947703247327e7,0.0,0.0
OCGT,88200.0,0.0,0.0
PHS,0.0,7.393826372139546e6,4.750436388387407e6
battery_gfl,0.0,0.0,0.0
battery_gfm,0.0,1.2228208303844713e7,1.2229118331045358e7
biomass,4.726607866094536e6,0.0,0.0
geothermal,3520.0,0.0,0.0
hydro,0.0,3.2317898220466517e7,558478.9995010479
nuclear,2.2795994721807517e7,0.0,0.0
offwind-ac,206238.98052672463,0.0,0.0
offwind-dc,585926.1170245556,0.0,0.0
onwind,4.941086217989613e6,0.0,0.0
ror,1.6214504060385976e7,0.0,0.0
solar,3.880958217058276e6,0.0,0.0
