bus,region_name,beta_i,gfm_bess_capacity_GW,GFM_strength_installed,GFL_exposure_peak,min_kappa,mean_kappa,p05_kappa
31,PL1 0,0.9821428571428571,100.0,5201.0,5200.0,-2599.0,-2448.1071428571427,-2599.0
15,FR1 0,0.8898809523809523,99.1,8302.0,8300.0,-4148.0,-2777.0178571428573,-4148.0
29,NL1 0,0.8184523809523809,99.1,5500.0,5500.0,-2750.0,-1197.142857142857,-2750.0
23,IT3 0,0.7946428571428571,6.1,352.5,350.0,-172.5,-76.07142857142857,-172.5
8,DE1 0,0.75,95.0,6803.0,6800.0,-3397.0,-875.125,-3397.0
32,PT1 0,0.75,0.0,454.0,450.0,-221.0,-60.50892857142857,-221.0
14,FI2 0,0.6428571428571429,0.6,451.5,450.0,-223.5,5.517857142857143,-223.5
25,LU1 0,0.6369047619047619,0.4,152.5,150.0,-72.5,9.196428571428571,-72.5
16,GB0 0,0.6220238095238095,0.6,2603.5,2600.0,-1296.5,125.49404761904762,-1296.5
4,BE1 0,0.6041666666666666,0.0,301.0,300.0,-149.0,26.669642857142858,-149.0
12,ES1 0,0.5952380952380952,0.0,2047.0,2000.0,-953.0,242.5654761904762,-953.0
24,LT6 0,0.5803571428571429,0.1,100.0,100.0,-50.0,12.723214285714286,-50.0
6,CH1 0,0.5654761904761905,1.0,1153.5,1150.0,-571.5,167.5625,-571.5
2,AT1 0,0.5595238095238095,1.0,902.0,900.0,-448.0,144.1875,-448.0
21,IE5 0,0.5565476190476191,0.4,255.0,250.0,-120.0,28.214285714285715,-120.0
22,IT1 0,0.5178571428571429,0.3,2902.0,2900.0,-1448.0,644.6190476190476,-1433.0
33,RO1 0,0.5119047619047619,0.8,502.0,500.0,-248.0,116.28571428571429,-248.0
35,SE2 0,0.5,0.2,1054.0,1050.0,-521.0,240.33928571428572,-521.0
7,CZ1 0,0.49404761904761907,0.5,353.0,350.0,-172.0,107.91071428571429,-172.0
20,HU1 0,0.49107142857142855,0.2,153.5,150.0,-71.50000000000003,42.3392857142857,-71.50000000000003
37,SK1 0,0.48214285714285715,0.8,252.0,250.0,-123.0,64.94642857142857,-123.0
27,ME1 0,0.44345238095238093,0.4,54.5,50.0,-20.5,21.241071428571427,-20.5
34,RS1 0,0.41964285714285715,0.7,204.0,200.0,-96.00000000000003,67.16964285714285,-96.00000000000003
5,BG1 0,0.39880952380952384,1.0,253.5,250.0,-121.5,102.60714285714286,-121.5
19,HR1 0,0.36607142857142855,0.5,153.0,150.0,-72.0,65.94642857142857,-72.0
36,SI1 0,0.3482142857142857,0.3,152.5,150.0,-72.5,67.14285714285714,-72.5
18,GR1 0,0.3333333333333333,1.9,453.0,450.0,-222.0,223.89285714285714,-222.0
10,DK2 0,0.30357142857142855,1.4,102.5,100.0,-47.5,56.74107142857143,-47.5
26,LV6 0,0.26785714285714285,0.6,150.0,150.0,-75.0,81.25,-75.0
30,NO2 0,0.25595238095238093,0.5,1503.5,1500.0,-746.5,892.25,-746.5
3,BA1 0,0.2261904761904762,0.1,100.0,100.0,-50.0,54.24107142857143,-50.0
1,AL1 0,0.17857142857142858,0.3,101.5,100.0,-48.499999999999986,74.49107142857144,-48.499999999999986
11,EE6 0,0.14583333333333334,1.1,55.0,50.0,-20.0,44.0625,-20.0
28,MK1 0,0.08035714285714286,1.0,50.0,50.0,-25.0,43.973214285714285,-25.0
9,DK1 0,0.06547619047619048,0.6,50.0,50.0,-25.0,45.089285714285715,-25.0
17,GB5 0,0.002976190476190476,1.1,102.5,100.0,-47.5,69.77678571428571,27.5
13,ES4 0,0.0,0.0,30.0,0.0,30.0,30.0,30.0
