bus,installed_capacity_GW
1.0,0.35
2.0,1.0
3.0,0.1
4.0,0.0
5.0,1.0
6.0,1.0
7.0,0.5
8.0,95.0
9.0,0.6
10.0,1.4
11.0,1.1
12.0,0.0
13.0,0.0
14.0,0.6
15.0,99.1
16.0,0.6
17.0,1.1
18.0,1.9
19.0,0.5
20.0,0.2
21.0,0.4
22.0,0.3
23.0,6.1
24.0,0.1
25.0,0.4
26.0,0.65
27.0,0.4
28.0,1.0
29.0,99.1
30.0,0.5
31.0,100.0
32.0,0.0
33.0,0.8
34.0,0.7
35.0,0.2
36.0,0.3
37.0,0.8
