carrier,installed_capacity_GW
BESS-GFM,21443.4
CCGT,0.0
OCGT,0.0
PHS,0.0
biomass,0.0
geothermal,0.0
hydro,0.0
nuclear,0.0
offwind-ac,0.0
offwind-dc,0.0
onwind,0.0
ror,0.0
solar,0.0
