carrier,generation,storage_discharge,storage_charge
BESS-GFM,0.0,3.984816367e9,3.984816724e9
CCGT,2.722156134990672e6,0.0,0.0
OCGT,900.0,0.0,0.0
PHS,0.0,4.578871752060558e6,1.2122990228330037e6
biomass,129859.41511274577,0.0,0.0
geothermal,6480.0,0.0,0.0
hydro,0.0,2.738386028829227e7,5.376174522968076e6
nuclear,4.199692228208494e6,0.0,0.0
offwind-ac,2.1529112268429697e6,0.0,0.0
offwind-dc,4.114261052805648e6,0.0,0.0
onwind,5.276582682572801e7,0.0,0.0
ror,1.2708597774769705e7,0.0,0.0
solar,4.395606842613672e7,0.0,0.0
