snapshot,mu_t,min_mu_t_alpha_1p5,gSCR_t,relative_margin_rG,min_kappa,median_kappa,min_kappa_bus,binding_node_count,violating_node_count,total_GFL_exposure,total_GFM_strength,local_relative_slack_min,gershgorin_conservatism_gap
1.0,222.7475323220339,222.7475323220339,3.0060629717734555,1.0040419811823036,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836255e6,100.0,-148.49393702822655
2.0,222.7475323220339,222.7475323220339,3.0060629717734555,1.0040419811823036,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836255e6,100.0,-148.49393702822655
3.0,222.7475323220339,222.7475323220339,3.0060629717734555,1.0040419811823036,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836255e6,100.0,-148.49393702822655
4.0,222.7475323220339,222.7475323220339,3.0060629717734555,1.0040419811823036,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836255e6,100.0,-148.49393702822655
5.0,222.7475323220291,222.7475323220291,3.006062971773455,1.0040419811823034,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836305e6,100.0,-148.49393702822655
6.0,222.7475323220291,222.7475323220291,3.006062971773455,1.0040419811823034,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836305e6,100.0,-148.49393702822655
7.0,222.7475323220291,222.7475323220291,3.006062971773455,1.0040419811823034,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836305e6,100.0,-148.49393702822655
8.0,222.7475323220291,222.7475323220291,3.006062971773455,1.0040419811823034,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836305e6,100.0,-148.49393702822655
9.0,222.7475323220291,222.7475323220291,3.006062971773455,1.0040419811823034,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836305e6,100.0,-148.49393702822655
10.0,222.74753232202914,222.74753232202914,3.006062971761392,1.0040419811742611,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0836455e6,100.0,-148.4939370282386
11.0,222.7475323220236,222.7475323220236,3.0060629717051444,1.004041981136763,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835655e6,100.0,-148.49393702829485
12.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
13.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
14.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
15.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
16.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
17.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
18.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
19.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
20.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
21.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
22.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
23.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
24.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
25.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
26.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
27.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
28.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
29.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
30.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
31.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
32.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
33.0,222.74753232203085,222.74753232203085,3.0038164893622965,1.002544326241531,150.0,5282.5,28.0,0.0,0.0,357390.0,1.0835505e6,100.0,-148.4961835106377
