bus,installed_capacity_GW
1.0,3.0
2.0,324.0
3.0,6.0
4.0,618.0
5.0,105.0
6.0,180.0
7.0,141.0
8.0,6939.0
9.0,363.0
10.0,78.0
11.0,24.0
12.0,2313.0
13.0,21.0
14.0,222.0
15.0,1728.0
16.0,2112.0
17.0,150.0
18.0,438.0
19.0,48.0
20.0,135.0
21.0,264.0
22.0,1745.4
23.0,210.0
24.0,36.0
25.0,27.0
26.0,6.0
27.0,9.0
28.0,6.0
29.0,1002.0
30.0,201.0
31.0,609.0
32.0,378.0
33.0,261.0
34.0,24.0
35.0,663.0
36.0,18.0
37.0,36.0
