bus,region_name,beta_i,gfm_bess_capacity_GW,min_kappa,mean_kappa,p05_kappa
4,BE1 0,1.0,0.0,-10219.0,-9758.51975300019,-10219.0
5,BG1 0,1.0,0.0,-1509.0,-1259.0,-1509.0
7,CZ1 0,1.0,0.0,-2159.5,-2128.25,-2159.5
8,DE1 0,1.0,0.0,-82648.36349674014,-77129.0226225551,-82648.36349674014
9,DK1 0,1.0,0.0,-2317.5,-2127.9166666666665,-2317.5
10,DK2 0,1.0,0.0,-282.5,-282.5,-282.5
11,EE6 0,1.0,0.0,-400.0,-400.0,-400.0
12,ES1 0,1.0,0.0,-10709.276186926509,-9892.726314095873,-10709.276186926509
13,ES4 0,1.0,0.0,-84.0,-84.0,-84.0
14,FI2 0,1.0,0.0,-3466.0,-3456.4166666666665,-3466.0
15,FR1 0,1.0,0.0,-27723.5,-24624.501698102278,-27723.5
16,GB0 0,1.0,0.0,-29748.34234906137,-29447.31743269764,-29748.34234906137
17,GB5 0,1.0,0.0,-2482.5,-2482.5,-2482.5
18,GR1 0,1.0,0.0,-3948.5,-3948.5,-3948.5
20,HU1 0,1.0,0.0,-2150.5,-2150.5,-2150.5
21,IE5 0,1.0,0.0,-3132.1120383760954,-2913.3470310812286,-3132.1120383760954
23,IT3 0,1.0,0.0,-2974.0853488386574,-2940.9511146627333,-2974.0853488386574
24,LT6 0,1.0,0.0,-535.0,-535.0,-535.0
25,LU1 0,1.0,0.0,-317.5,-300.8333333333333,-317.5
26,LV6 0,1.0,0.0,-82.5,-16.041666666666668,-82.5
27,ME1 0,1.0,0.0,-93.0,-93.0,-93.0
28,MK1 0,1.0,0.0,-100.0,-100.0,-100.0
29,NL1 0,1.0,0.0,-7828.589553037891,-6958.338035215274,-7828.589553037891
31,PL1 0,1.0,0.0,-6155.5,-6155.5,-6155.5
32,PT1 0,1.0,0.0,-1998.85650368599,-1604.77933579066,-1998.85650368599
36,SI1 0,1.0,0.0,-182.5,-155.9375,-182.5
37,SK1 0,1.0,0.0,-365.5,-365.5,-365.5
35,SE2 0,0.9583333333333334,0.0,-5890.7355390540415,-5627.4132249267905,-5890.7355390540415
22,IT1 0,0.8333333333333334,0.0,-15843.626078343768,-12104.214534368088,-15843.626078343768
2,AT1 0,0.7916666666666666,0.0,-2593.0,-1936.75,-2593.0
6,CH1 0,0.6666666666666666,0.0,-1974.0,-1034.5208333333333,-1974.0
33,RO1 0,0.6666666666666666,0.0,-3505.0186925769476,-2208.512461717965,-3505.0186925769476
1,AL1 0,0.0,0.0,37.500000000000014,39.87500000000001,37.500000000000014
3,BA1 0,0.0,0.0,17.5,17.5,17.5
19,HR1 0,0.0,0.0,18.0,27.583333333333332,28.0
30,NO2 0,0.0,0.0,1268.9332672354808,1364.8041584044352,1268.9332672354808
34,RS1 0,0.0,0.0,91.49999999999997,91.49999999999999,91.49999999999997
