carrier,generation,storage_discharge,storage_charge
CCGT,167847.25195469824,0.0,0.0
OCGT,5700.0,0.0,0.0
PHS,0.0,1.295716e6,0.0
battery_gfl,0.0,0.0,0.0
battery_gfm,0.0,0.0,0.0
biomass,12489.528610976617,0.0,0.0
coal,59007.96246979917,0.0,0.0
geothermal,760.0,0.0,0.0
hydro,0.0,2.339085981049448e6,0.0
lignite,107848.20814777096,0.0,0.0
nuclear,345130.7612370745,0.0,0.0
offwind-ac,49365.68898373831,0.0,0.0
offwind-dc,321909.29432500247,0.0,0.0
oil,15365.759697436315,0.0,0.0
onwind,2.8401840147305657e6,0.0,0.0
ror,942057.5546123579,0.0,0.0
solar,1.7558382335676157e6,0.0,0.0
