snapshot,mu_t,gSCR_t,relative_margin_rG,min_kappa,min_kappa_bus,binding_node_count,local_relative_slack_min,gershgorin_conservatism_gap
1.0,-60112.74088191152,0.010515100799026025,-0.9894848992009739,-60643.5,8.0,27.0,-60643.5,60642.510515100796
2.0,-60112.740797446415,0.010515100799026062,-0.9894848992009739,-60643.5,8.0,28.0,-60643.5,60642.510515100796
3.0,-60112.74086058007,0.010515100799026062,-0.9894848992009739,-60643.5,8.0,28.0,-60643.5,60642.510515100796
4.0,-60112.75787617087,0.010515100799026032,-0.9894848992009739,-60643.5,8.0,28.0,-60643.5,60642.510515100796
5.0,-60112.77230022989,0.0101166919814462,-0.9898833080185538,-60643.5,8.0,29.0,-60643.5,60642.510116691985
6.0,-60112.77960806698,0.010116691981446177,-0.9898833080185538,-60643.5,8.0,30.0,-60643.5,60642.510116691985
7.0,-82087.3834779097,0.010071619065633877,-0.9899283809343661,-82618.36349674014,8.0,30.0,-82618.36349674014,82617.37356835921
8.0,-82087.38658726387,0.010001654906728993,-0.989998345093271,-82618.36349674014,8.0,30.0,-82618.36349674014,82617.37349839506
9.0,-82087.39812995939,0.009995526621545391,-0.9900044733784547,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349226676
10.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
11.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
12.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
13.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
14.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
15.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
16.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
17.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
18.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
19.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
20.0,-82087.39812996547,0.00999582074371957,-0.9900041792562805,-82618.36349674014,8.0,32.0,-82618.36349674014,82617.37349256089
21.0,-82102.39799733783,0.009833047979191892,-0.9901669520208081,-82633.36349674014,8.0,32.0,-82633.36349674014,82632.37332978813
22.0,-82117.39786476237,0.009669771597605641,-0.9903302284023944,-82648.36349674014,8.0,32.0,-82648.36349674014,82647.37316651174
23.0,-82117.39786476237,0.009669771597605641,-0.9903302284023944,-82648.36349674014,8.0,32.0,-82648.36349674014,82647.37316651174
24.0,-82117.3978647503,0.00966979980026891,-0.9903302001997311,-82648.36349674014,8.0,32.0,-82648.36349674014,82647.37316653994
