scenario_name,carrier,type,invested_blocks,invested_capacity_GW,mean_online_blocks,max_online_blocks,online_block_hours,online_block_fraction_mean,total_dispatch_MWh,total_charge_MWh,total_discharge_MWh,mean_dispatch_utilization,startup_total,shutdown_total,investment_cost_realized,operation_cost_realized,startup_cost_realized,shutdown_cost_realized,mean_GFM_strength_online,max_GFM_strength_online,mean_GFL_exposure_online,max_GFL_exposure_online
gSCR-GERSH-1.0,nuclear,gfm,0.0,0.0,55.89107709410992,56.0,18779.401903620936,0.9315179515684986,2.364455751845977e7,0.0,0.0,0.9685144000533397,,,0.0,0.002566701431842498,0.0,0.0,279.45538547054963,2015.0,0.0,0.0
gSCR-GERSH-1.0,geothermal,gfl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gSCR-GERSH-1.0,hydro,gfm,0.0,0.0,4923.0,4923.0,1.654128e6,1.0,0.0,1.7401878596644772e6,3.1234584604735278e7,0.9441404959209709,,,0.0,0.0033906260654440034,0.0,0.0,182.33333333333334,1456.0,0.0,0.0
gSCR-GERSH-1.0,PHS,gfm,0.0,0.0,362.0,362.0,121632.0,1.0,0.0,8.976906090321831e6,1.0786536515911868e7,0.5912115515605469,,,0.0,0.0011709171845739772,0.0,0.0,108.6,442.5,0.0,0.0
gSCR-GERSH-1.0,battery_gfl,gfl,0.02,0.002,0.0030059523809523817,0.02,1.0100000000000007,0.1502976190476191,0.0,53.0,45.0,0.44554455445544555,,,792682.2222935146,4.884911225035109e-9,0.09232780449909501,0.0,0.0,0.0,0.008124195624195625,1.0
gSCR-GERSH-1.0,battery_gfm,gfm,4148.031829821719,414.8031829821718,4148.031829821715,4148.031829821718,1.3937386948201067e6,0.9999999999999991,0.0,3.700823777751237e7,3.699763377751237e7,0.2654560278409151,,,1.7467877660351358e11,0.004016225700877962,20345.741941489538,0.0,560.5448418677998,1332.795940605997,0.0,0.0
gSCR-GERSH-1.5,CCGT,gfm,0.0,0.0,510.4949290987614,519.599569711309,171526.2961771848,0.9281725983613844,5.022670373460844e7,0.0,0.0,0.9760739286825234,,,0.0,0.0014854856015419611,0.0,0.0,206.95740368868698,1950.0,0.0,0.0
gSCR-GERSH-1.5,OCGT,gfm,0.0,0.0,1.0,1.0,336.0,1.0,100800.0,0.0,0.0,1.0,,,0.0,2.981221889985471e-6,0.0,0.0,0.40540540540540543,15.0,0.0,0.0
gSCR-GERSH-1.5,offwind-ac,gfl,0.0,0.0,7.722004981831955,23.0,2594.593673895532,0.09192863073609471,259459.3673895532,0.0,0.0,1.0,,,0.0,7.673670095471413e-6,0.0,0.0,0.0,0.0,27.578589220828427,1000.0
gSCR-GERSH-1.5,onwind,gfl,0.0,0.0,273.1402842250031,458.1208045676217,91775.1354996021,0.0757880921822983,4.58875677498006e6,0.0,0.0,1.0,,,0.0,0.00013571529906140564,0.0,0.0,0.0,0.0,369.10849219595013,2992.86343075589
