scenario_name,total_annual_system_cost,investment_cost,operation_cost_raw_horizon,startup_cost_raw_horizon,shutdown_cost_raw_horizon,annualized_operation_cost,annualized_startup_cost,annualized_shutdown_cost,total_invested_blocks,total_generation_dispatch,total_storage_discharge,total_storage_charge,final_storage_ratio,mean_marginal_cost_of_dispatched_generation,zero_marginal_dispatch_share,existing_fleet_fixed_cost_included,candidate_investment_only
BASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0494544919528173e8,3.39321706055608e7,3.403207409964315e6,0.9311328131116224,,0.14103261684975663,false,true
gSCR-GERSH-1.0,1.7477729222677637e11,1.7477676294023145e11,0.01988699434150476,20357.15491769316,0.0,0.5170618528791238,529286.0278600221,0.0,4149.143829821719,1.0418099722021742e8,7.901879989815952e7,4.772538472749868e7,0.9282138965784487,,0.13171888484328964,false,true
gSCR-GERSH-1.5,3.45809230868173e11,3.458087004446581e11,0.011518708204675931,20400.892900237108,0.0,0.2994864133215742,530423.2154061648,0.0,8211.641744732582,1.0443720837067834e8,2.8502920167134386e8,2.5399199765114295e8,0.9285248135893008,,0.1281792433075807,false,true
