island_id,bus_count,buses,region_names,total_load_mean,total_GFL_exposure_mean_BASE,total_GFL_exposure_mean_gSCR_1p5,total_GFM_strength_mean_BASE,total_GFM_strength_mean_gSCR_1p5,has_GFL_exposure,has_GFM_strength,min_global_gSCR_island_BASE,min_global_gSCR_island_gSCR_1p0,min_global_gSCR_island_gSCR_1p5,min_mu_island_BASE_alpha_1p5,min_mu_island_gSCR_1p0_alpha_1p5,min_mu_island_gSCR_1p5_alpha_1p5
1,25,1 2 3 4 5 6 7 8 9 12 15 18 19 20 22 25 27 28 29 31 32 33 34 36 37,AL1 0; AT1 0; BA1 0; BE1 0; BG1 0; CH1 0; CZ1 0; DE1 0; DK1 0; ES1 0; FR1 0; GR1 0; HR1 0; HU1 0; IT1 0; LU1 0; ME1 0; MK1 0; NL1 0; PL1 0; PT1 0; RO1 0; RS1 0; SI1 0; SK1 0,299192.2112452614,290940.0,26378.04025747627,8039.529646693927,44673.38396226863,true,true,0.02763294715987464,,1.6935823710257227,-428370.4703533061,,5106.323576054223
2,4,10 14 30 35,DK2 0; FI2 0; NO2 0; SE2 0,50613.7587805623,19400.0,3731.0907510600055,2373.8363095238096,7419.949656502338,true,true,0.12236269636720669,,1.9886810993258004,-26726.16369047619,,1823.3135299123296
3,3,11 24 26,EE6 0; LT6 0; LV6 0,3344.5386904761904,1100.0,105.91759013905622,154.95535714285714,1421.8603839683153,true,true,0.1408685064935065,,13.424213882713863,-1495.044642857143,,1262.983998759731
4,1,13,ES4 0,632.7213783977911,350.0,0.07097917454803751,3.873666662729169,35.77350397221088,true,true,0.011067619036369054,,503.99999999999966,-521.1263333372708,,35.667035210388825
5,1,16,GB0 0,43148.93168170603,35200.0,2833.004062232181,546.0,4266.245427342558,true,true,0.015511363636363636,,1.5059086869014575,-52254.0,,16.739333994287335
6,2,17 21,GB5 0; IE5 0,4281.657478115398,6900.0,1442.785350848427,57.410714285714285,3669.00983802102,true,true,0.0083203933747412,,2.5430046374281985,-10292.589285714286,,1504.8318117483796
7,1,23,IT3 0,1983.836670714068,3500.0,1196.4051798609598,17.5,1803.9634037783758,true,true,0.005,,1.5078197872630603,-5232.5,,9.355633986936027
