scenario_name,min_adequacy_margin_gen_only,min_adequacy_margin_gen_plus_storage,min_adequacy_ratio_gen_only,min_adequacy_ratio_gen_plus_storage,snapshot_min_gen_only_margin,snapshot_min_gen_plus_storage_margin,max_load,snapshot_max_load,mean_generation_available_upper,mean_storage_discharge_capability,mean_actual_generation_dispatch,mean_actual_storage_discharge,mean_actual_storage_charge,total_storage_discharge,total_storage_charge
BASE,-110658.26983075438,42101.73016924568,0.7742880858139445,1.0858757517316993,307,307,490263.30856216216,307,404769.518028848,152760.0,,,,3.39321706055608e7,3.403207409964315e6
gSCR-GERSH-1.0,-110658.26983075438,456906.91315141757,0.7742880858139445,1.9319622846984577,307,307,490263.30856216216,307,404775.95666981203,567565.1829821744,,,,7.901879989815952e7,4.772538472749868e7
gSCR-GERSH-1.5,-110658.26983075438,863252.5046425036,0.7742880858139445,2.7607936175648944,307,307,490263.30856216216,307,404770.219619179,973910.7744732546,,,,2.8502920167134386e8,2.5399199765114295e8
