run_name,horizon_hours,snapshot_count,g_min,status,objective,solve_time,relative_gap,total_annual_system_cost_BEUR_per_year,installed_BESS_GFM_GW,installed_BESS_GFL_GW,installed_RES_GW,installed_CCGT_GW,total_invested_blocks,battery_gfl_blocks,battery_gfm_blocks,total_GFM_strength,investment_cost,startup_cost,shutdown_cost,total_storage_discharge,total_storage_charge,final_storage_ratio,min_mu_t,min_gSCR_t,min_gSCR_margin,weakest_bus,weakest_snapshot,near_binding_count,max_AC_branch_loading,AC_overload_count,max_dcline_loading,dcline_overload_count,max_bus_balance_residual,max_storage_state_residual,max_startup_shutdown_residual
H_24h_gmin_0p0,24,24,0.0,OPTIMAL,0.013216018676757812,3.9019999504089355,0.0,4.810630798339843e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150426.29980170645,0.0,0.0,0.0,3.634801981049448e6,0.0,0.9925340643647323,-82117.39786476237,0.009669771597605641,0.0,28,1,48,1.0,0,1.0,0,1.4551915228366852e-11,0.0,0.0
H_24h_gmin_1p0,24,24,1.0,OPTIMAL,6.63510002580406e8,5.630000114440918,3.2769034734381666e-12,0.6690573659263448,1.5755761938746946,0.0,0.0,0.0,15.755761938746947,0.0,15.755761938746947,175021.15370505376,6.634947205877174e8,15281.979472545567,0.0,3.600958991789072e6,4.0,0.9926026277311127,-2.466697568290812e-13,0.999999999999996,-2.842170943040401e-14,20,1,637,1.0,0,1.0,0,2.8421709430404007e-11,7.815970093361102e-14,5.684341886080802e-14
H_24h_gmin_2p0,24,24,2.0,OPTIMAL,1.786018507207865e9,8.691999912261963,2.774624197132818e-12,1.7920140640777378,4.2411523877493895,0.0,0.0,0.0,42.41152387749389,0.0,42.41152387749389,176409.85731950353,1.786001990522273e9,16516.672376202645,0.0,3.600180425759015e6,5.000000000000086,0.9926042068869698,-2.1129728546523103e-13,1.9999999999999967,-3.410605131648481e-13,35,14,769,1.0,0,1.0,0,1.4551915228366852e-11,8.548717289613705e-14,5.684341886080802e-14
