scenario,horizon_hours,g_min,total_annual_system_cost_BEUR_per_year,installed_BESS_GFM_GW,installed_BESS_GFL_GW,installed_RES_GW,installed_CCGT_GW,solver_wall_clock_min,min_mu_t,min_gSCR_t
H_24h_gmin_0p0,24,0.0,4.810630798339843e-9,0.0,0.0,0.0,0.0,0.06503333250681559,-82117.39786476237,0.009669771597605641
H_24h_gmin_1p0,24,1.0,0.6690573659263448,1.5755761938746946,0.0,0.0,0.0,0.09383333524068196,-2.466697568290812e-13,0.999999999999996
H_24h_gmin_2p0,24,2.0,1.7920140640777378,4.2411523877493895,0.0,0.0,0.0,0.14486666520436606,-2.1129728546523103e-13,1.9999999999999967
