bus,region_name,beta_i,gfm_bess_capacity_GW,GFM_strength_installed,GFL_exposure_peak,min_kappa,mean_kappa,p05_kappa
15,FR1 0,1.0,22.845902922676704,4489.295146133835,2992.86343075589,0.0,8.120488408686859e-15,0.0
18,GR1 0,1.0,40.10183314009429,2363.0916570047148,1575.3944380031433,-4.547473508864641e-13,-2.4361465226060576e-14,-4.547473508864641e-13
4,BE1 0,0.9940476190476191,50.52671526878539,2827.335763439269,1884.8905089595128,0.0,1.7142857142857157,0.0
16,GB0 0,0.9940476190476191,34.51857815128285,4299.428907564143,2866.285938376095,-9.094947017729282e-13,16.739333994287417,0.0
14,FI2 0,0.9910714285714286,28.396064162736497,1841.3032081368249,1227.5354720912167,-2.2737367544323206e-13,1.3221204560429547,-2.2737367544323206e-13
35,SE2 0,0.9910714285714286,24.851317366287184,2286.5658683143592,1524.3772455429062,-4.547473508864641e-13,14.873069955151667,0.0
2,AT1 0,0.9821428571428571,38.2601175078337,2765.0058753916846,1843.337250261123,0.0,35.58572595068533,0.0
8,DE1 0,0.9821428571428571,26.84918169259349,3395.4590846296746,2263.639389753116,0.0,60.23315743141801,0.0
29,NL1 0,0.9791666666666666,33.75515329077025,2232.7576645385125,1488.5051096923416,-4.547473508864641e-13,46.509879845576314,0.0
12,ES1 0,0.9761904761904762,0.0,1978.7006270091267,1319.1337513394178,-2.2737367544323206e-13,46.98230519137903,0.0
9,DK1 0,0.9672619047619048,38.6,1950.0,1300.0,0.0,62.04864131418498,0.0
23,IT3 0,0.9613095238095238,35.1292680755675,1803.963403778375,1202.6422691855835,-2.2737367544323206e-13,9.355633986935283,-2.2737367544323206e-13
6,CH1 0,0.9583333333333334,33.23871412003937,2765.4357060019684,1843.6238040013122,-4.547473508864641e-13,82.50106020130417,0.0
33,RO1 0,0.9553571428571429,43.01267706888373,2612.633853444187,1741.7559022961245,-4.547473508864641e-13,46.17311225582293,-4.547473508864641e-13
20,HU1 0,0.9523809523809523,36.373334442235205,1962.16672211176,1308.1111480745067,-2.2737367544323206e-13,57.162343238216714,-2.2737367544323206e-13
31,PL1 0,0.9375,62.345216302733604,3318.2608151366803,2212.173876757787,-9.094947017729282e-13,202.08773340797822,-9.094947017729282e-13
22,IT1 0,0.9136904761904762,29.55703407196751,4364.851703598376,2909.9011357322506,-9.094947017729282e-13,342.4748777825883,0.0
7,CZ1 0,0.9107142857142857,31.935027836706617,1924.7513918353307,1283.1675945568873,-2.2737367544323206e-13,149.70481535956148,-2.2737367544323206e-13
5,BG1 0,0.875,24.897306776574382,1448.3653388287191,965.5768925524794,-2.2737367544323206e-13,156.65805776114064,0.0
17,GB5 0,0.6369047619047619,38.38675098551815,1966.8375492759073,1311.225032850605,-4.547473508864641e-13,500.94210275642683,0.0
30,NO2 0,0.4851190476190476,13.229628806718392,2139.9814403359196,1426.6542935572797,0.0,1101.8356820777205,0.0
19,HR1 0,0.4494047619047619,14.856132921692796,870.8066460846399,580.5377640564266,-1.1368683772161603e-13,474.50714511254444,0.0
21,IE5 0,0.4107142857142857,29.651526810341075,1717.5763405170537,1145.0508936780357,-2.2737367544323206e-13,1003.8897089919509,-2.2737367544323206e-13
10,DK2 0,0.2261904761904762,22.644235968300254,1164.7117984150127,776.4745322766751,0.0,705.2826574234126,0.0
24,LT6 0,0.13392857142857142,13.126968017222639,751.348400861132,500.8989339074213,0.0,611.0892005042448,0.0
32,PT1 0,0.026785714285714284,0.0,490.5194146884111,327.0129431255315,-5.684341886080802e-14,475.59124968323454,490.51941468829716
34,RS1 0,0.023809523809523808,7.0670567829192805,522.352839145964,348.23522609730935,0.0,508.097186742681,522.352839145964
36,SI1 0,0.01488095238095238,4.75,375.0,250.0,0.0,369.41964285714283,375.0
27,ME1 0,0.011904761904761904,2.31,150.0,100.0,0.0,147.09821428571428,150.0
37,SK1 0,0.008928571428571428,13.76,900.0,600.0,0.0,811.0692852544221,75.0
1,AL1 0,0.005952380952380952,0.001,86.55,57.7,0.0,85.90089285714281,85.05000000000001
3,BA1 0,0.005952380952380952,1.1,150.0,100.0,0.0,148.66071428571428,150.0
11,EE6 0,0.005952380952380952,10.623031982777363,531.1515991388682,354.1010660925788,0.0,512.869446763041,531.1515991388682
25,LU1 0,0.005952380952380952,10.85,675.0,450.0,0.0,652.6785714285714,375.0
26,LV6 0,0.005952380952380952,0.6,150.0,100.0,0.0,139.02535149244517,136.24306040822702
28,MK1 0,0.005952380952380952,3.0,150.0,100.0,0.0,143.46467809288612,75.0
13,ES4 0,0.002976190476190476,0.0,35.773503972211294,23.8490026481406,0.0,35.66703521038886,35.773503972210904
