carrier,generation,storage_discharge,storage_charge
CCGT,5.022670373460844e7,0.0,0.0
OCGT,100800.0,0.0,0.0
PHS,0.0,1.0770563161313137e7,8.975654064767325e6
battery_gfl,0.0,12.0,17.0
battery_gfm,0.0,2.431616152472583e8,2.431725442472583e8
biomass,5.225228255473206e6,0.0,0.0
geothermal,0.0,0.0,0.0
hydro,0.0,3.1097011262772433e7,1.8437823391173144e6
nuclear,2.3506888477101095e7,0.0,0.0
offwind-ac,259459.3673895532,0.0,0.0
offwind-dc,1.8897373442010442e6,0.0,0.0
onwind,4.58875677498006e6,0.0,0.0
ror,1.3386682342109682e7,0.0,0.0
solar,5.252952074815247e6,0.0,0.0
