snapshot,online_gfm_strength,online_gfl_exposure
1.0,15237.646777362586,641.6939307164245
2.0,15256.007772929845,615.5221804054131
3.0,15257.36333419776,636.6562346669172
4.0,15257.36333419776,639.8021834319303
5.0,15265.88672034276,615.0678293125995
6.0,15290.064865296272,696.0622396107564
7.0,15337.290672536637,679.6292570388986
8.0,15339.539888911015,701.545252352457
9.0,15342.678114976776,725.1993503436871
10.0,15376.399186896086,736.7991655146725
11.0,15376.399186896086,749.1939354750236
12.0,15376.399186896084,713.1490812657927
13.0,15376.399186896084,717.1558862194214
14.0,15376.399186896084,673.4354740589586
15.0,15376.399186896084,638.8591908851422
16.0,15376.399186896084,639.6096011455215
17.0,15376.399186896084,683.4354740589586
18.0,15376.399186896084,743.6536766125129
19.0,15376.399186896084,743.6536766125129
20.0,15376.399186896084,642.6090384090152
21.0,15376.399186896084,635.6836832951291
22.0,15376.399186896084,680.8911408966544
23.0,15376.399186896084,624.0729280140006
24.0,15376.399186896084,624.0729280140006
25.0,15376.399186896084,646.5599734550633
26.0,15376.399186896084,614.7009352667565
27.0,15376.399186896084,562.5206175462846
28.0,15376.399186896084,585.5987194778239
29.0,15376.399186896084,620.4338375237462
30.0,15376.399186896084,591.9946853765429
31.0,15376.399186896084,571.6489025916601
32.0,15376.399186896084,646.5599734550633
33.0,15376.399186896084,648.5599734550633
34.0,15376.399186896084,635.6836832951291
35.0,15376.399186896084,680.8911408966544
36.0,15377.06328734593,658.1817970770227
37.0,15377.06328734593,646.5710417958941
38.0,15377.06328734593,646.5710417958941
39.0,15377.06328734593,646.5710417958941
40.0,15377.06328734593,627.2595039448445
41.0,15377.06328734593,601.8012251008388
42.0,15377.06328734593,658.1817970770227
43.0,15377.06328734593,658.1817970770227
44.0,15377.063287345944,658.1817970770228
45.0,15377.063287345944,624.0839963548316
46.0,15377.063287345944,546.8592385263202
47.0,15377.063287345944,646.5710417958943
48.0,15377.063287345944,624.0839963548316
49.0,15377.063287345944,656.5710417958943
50.0,15377.063287345944,581.4708149824518
51.0,15377.063287345944,620.4449058645773
52.0,15377.063287345944,626.4449058645773
53.0,15377.063287345944,607.9578604235146
54.0,15377.063287345944,620.4449058645772
55.0,15377.063287345944,597.9578604235145
56.0,15377.063287345944,518.2882083519598
57.0,15377.063287345944,646.5710417958943
58.0,15377.063287345944,646.5710417958943
59.0,15377.063287345944,624.0839963548316
60.0,15377.063287345944,602.3275642607385
61.0,15377.069062318971,624.0890013314563
62.0,15377.069062318971,646.576046772519
63.0,15377.069062318971,646.576046772519
64.0,15377.069062318971,646.576046772519
65.0,15377.069062318971,646.576046772519
66.0,15377.069062318971,680.9072142141101
67.0,15377.069062318971,635.6997566125849
68.0,15377.069062318971,610.1309711998464
69.0,15377.069418349165,646.809413491919
70.0,15377.069418349165,646.576046772519
