metric,unit,BASE,gSCR-GERSH-1.0,gSCR-GERSH-1.5,delta_gSCR_1p5_vs_BASE,delta_gSCR_1p5_vs_BASE_percent
Wind generation,TWh/a equiv.,1338.9646924968836,1557.6347974803734,1534.857976739792,195.89328424290852,14.630205362443824
Solar PV generation,TWh/a equiv.,1003.176483374705,1154.9963266296518,1142.8577790795546,139.68129570484962,13.923900531934228
Gas generation,TWh/a equiv.,86.43703107211186,66.23441273949432,70.77605950975747,-15.66097156235439,-18.118358958082336
BESS discharge,TWh/a equiv.,120153.702916,124937.55747199999,103605.225542,-16548.477373999995,-13.772756870896531
BESS charge,TWh/a equiv.,120153.70314999999,124937.563738,103605.234824,-16548.468325999987,-13.772749313719332
Curtailment,TWh/a equiv.,,,,,n/a
