snapshot,mu_t,gSCR_t,relative_margin_rG,min_kappa,min_kappa_bus,binding_node_count,local_relative_slack_min,gershgorin_conservatism_gap
1.0,-1.2766633157748863e-13,1.0,0.0,-2.842170943040401e-14,20.0,17.0,-2.842170943040401e-14,2.842170943040401e-14
2.0,3.015097515974578e-14,1.0,0.0,-2.842170943040401e-14,20.0,14.0,-2.842170943040401e-14,2.842170943040401e-14
3.0,-1.8696830489530771e-13,0.9999999999999996,-4.440892098500626e-16,-2.842170943040401e-14,20.0,14.0,-2.842170943040401e-14,2.7977620220553945e-14
4.0,-9.76488918547004e-14,0.9999999999999999,-1.1102230246251565e-16,-2.842170943040401e-14,20.0,15.0,-2.842170943040401e-14,2.8310687127941492e-14
5.0,-2.0295576305718862e-13,1.0000000000000004,4.440892098500626e-16,-2.842170943040401e-14,20.0,19.0,-2.842170943040401e-14,2.886579864025407e-14
6.0,-7.039321954000482e-14,1.0,0.0,-2.842170943040401e-14,20.0,23.0,-2.842170943040401e-14,2.842170943040401e-14
7.0,-3.042851353264479e-14,0.999999999999996,-3.9968028886505635e-15,-2.842170943040401e-14,20.0,20.0,-2.842170943040401e-14,2.4424906541753444e-14
8.0,-2.466697568290812e-13,1.0000000000000007,6.661338147750939e-16,-2.842170943040401e-14,20.0,22.0,-2.842170943040401e-14,2.90878432451791e-14
9.0,-4.31574046588327e-14,0.9999999999999996,-4.440892098500626e-16,-2.842170943040401e-14,20.0,26.0,-2.842170943040401e-14,2.7977620220553945e-14
10.0,-1.2232466428481898e-16,0.9999999999999999,-1.1102230246251565e-16,-2.842170943040401e-14,20.0,27.0,-2.842170943040401e-14,2.8310687127941492e-14
11.0,-1.603597648917174e-13,0.9999999999999998,-2.220446049250313e-16,-2.842170943040401e-14,20.0,28.0,-2.842170943040401e-14,2.8199664825478976e-14
12.0,-1.0720801928902974e-13,0.9999999999999998,-2.220446049250313e-16,-2.842170943040401e-14,20.0,28.0,-2.842170943040401e-14,2.8199664825478976e-14
13.0,-1.0720801928902974e-13,0.9999999999999998,-2.220446049250313e-16,-2.842170943040401e-14,20.0,28.0,-2.842170943040401e-14,2.8199664825478976e-14
14.0,-8.3659777022688e-14,0.9999999999999992,-7.771561172376096e-16,-2.842170943040401e-14,20.0,30.0,-2.842170943040401e-14,2.7644553313166398e-14
15.0,-9.062601592803905e-14,0.9999999999999984,-1.5543122344752192e-15,-2.842170943040401e-14,20.0,31.0,-2.842170943040401e-14,2.6867397195928788e-14
16.0,-9.062601592803905e-14,0.9999999999999984,-1.5543122344752192e-15,-2.842170943040401e-14,20.0,31.0,-2.842170943040401e-14,2.6867397195928788e-14
17.0,-9.489964786830175e-14,0.9999999999999997,-3.3306690738754696e-16,-2.842170943040401e-14,20.0,33.0,-2.842170943040401e-14,2.808864252301646e-14
18.0,-8.99997698641514e-14,0.9999999999999997,-3.3306690738754696e-16,-2.842170943040401e-14,20.0,33.0,-2.842170943040401e-14,2.808864252301646e-14
19.0,-1.2099385219510091e-13,0.9999999999999986,-1.4432899320127035e-15,0.0,5.0,33.0,0.0,-1.4432899320127035e-15
20.0,-1.2099385219510091e-13,0.9999999999999986,-1.4432899320127035e-15,0.0,5.0,33.0,0.0,-1.4432899320127035e-15
21.0,-1.2099385219510091e-13,0.9999999999999986,-1.4432899320127035e-15,0.0,5.0,33.0,0.0,-1.4432899320127035e-15
22.0,-1.2099385219510091e-13,0.9999999999999986,-1.4432899320127035e-15,0.0,5.0,33.0,0.0,-1.4432899320127035e-15
23.0,-1.0577605493411347e-13,1.0000000000000002,2.220446049250313e-16,-7.105427357601002e-15,23.0,33.0,-7.105427357601002e-15,7.327471962526033e-15
24.0,-9.160504559043827e-14,0.9999999999999996,-4.440892098500626e-16,0.0,5.0,33.0,0.0,-4.440892098500626e-16
