bus,region_name,beta_i,gfm_bess_capacity_GW,min_kappa,mean_kappa,p05_kappa
4,BE1 0,1.0,0.0,0.0,0.0,0.0
9,DK1 0,1.0,0.0,0.0,0.0,0.0
10,DK2 0,1.0,0.0,0.0,0.0,0.0
11,EE6 0,1.0,0.0,0.0,0.0,0.0
17,GB5 0,1.0,0.0,0.0,0.0,0.0
20,HU1 0,1.0,0.0,-2.842170943040401e-14,-2.1316282072803006e-14,-2.842170943040401e-14
24,LT6 0,1.0,0.0,0.0,0.0,0.0
25,LU1 0,1.0,0.0,0.0,0.0,0.0
27,ME1 0,1.0,0.0,0.0,0.0,0.0
28,MK1 0,1.0,0.0,0.0,0.0,0.0
29,NL1 0,1.0,0.0,0.0,0.0,0.0
23,IT3 0,0.9583333333333334,1.5755761938746946,-7.105427357601002e-15,0.002083333333334695,0.0
35,SE2 0,0.9166666666666666,0.0,0.0,20.791666666666668,0.0
7,CZ1 0,0.875,0.0,0.0,34.75,0.0
13,ES4 0,0.875,0.0,0.0,0.3098025843578709,0.0
14,FI2 0,0.875,0.0,0.0,7.354166666666667,0.0
8,DE1 0,0.8333333333333334,0.0,0.0,49.420059567499244,0.0
16,GB0 0,0.8333333333333334,0.0,0.0,62.242918300121005,0.0
18,GR1 0,0.8333333333333334,0.0,0.0,32.416666666666664,0.0
37,SK1 0,0.8333333333333334,0.0,0.0,24.916666666666668,0.0
15,FR1 0,0.7916666666666666,0.0,0.0,324.2180560358323,0.0
32,PT1 0,0.75,0.0,0.0,30.625,0.0
12,ES1 0,0.7083333333333334,0.0,0.0,530.6149532328006,0.0
31,PL1 0,0.7083333333333334,0.0,0.0,111.60650060288587,0.0
6,CH1 0,0.6666666666666666,0.0,0.0,309.7083333333333,0.0
22,IT1 0,0.6666666666666666,0.0,0.0,404.93065920142357,0.0
33,RO1 0,0.6666666666666666,0.0,0.0,128.16666666666666,0.0
36,SI1 0,0.6666666666666666,0.0,0.0,6.875,0.0
21,IE5 0,0.5,0.0,0.0,10.460809408676326,0.0
5,BG1 0,0.4583333333333333,0.0,0.0,27.113829107453913,0.0
19,HR1 0,0.4583333333333333,0.0,0.0,15.166666666666666,0.0
2,AT1 0,0.3333333333333333,0.0,0.0,444.4583333333333,0.0
34,RS1 0,0.3333333333333333,0.0,0.0,121.00000000000075,0.0
1,AL1 0,0.0,0.0,40.500000000000014,40.50000000000001,40.500000000000014
3,BA1 0,0.0,0.0,17.5,17.5,17.5
26,LV6 0,0.0,0.0,20.0,20.0,20.0
30,NO2 0,0.0,0.0,1266.9839844676421,1373.2284993528185,1363.5
