bus,installed_capacity_GW
1.0,1.35
2.0,1.0
3.0,1.1
4.0,99.0
5.0,0.5
6.0,0.5
7.0,1.0
8.0,100.0
9.0,98.6
10.0,0.0
11.0,1.5
12.0,0.0
13.0,0.0
14.0,5.1
15.0,99.6
16.0,2.6
17.0,2.1
18.0,99.4
19.0,0.5
20.0,0.2
21.0,4.3
22.0,0.8
23.0,83.1
24.0,1.1
25.0,0.4
26.0,0.6
27.0,0.9
28.0,1.5
29.0,98.6
30.0,14.6
31.0,99.5
32.0,0.0
33.0,1.7
34.0,1.2
35.0,3.2
36.0,0.3
37.0,0.3
