bus,region_name,beta_i,gfm_bess_capacity_GW,GFM_strength_installed,GFL_exposure_peak,min_kappa,mean_kappa,p05_kappa
9,DK1 0,0.8660714285714286,98.6,4950.0,3300.0,0.0,448.6607142857143,0.0
29,NL1 0,0.8482142857142857,98.6,5475.0,3650.0,0.0,640.625,0.0
24,LT6 0,0.6607142857142857,1.1,150.0,100.0,0.0,50.892857142857146,0.0
21,IE5 0,0.5148809523809523,4.3,450.0,300.0,0.0,179.64285714285714,0.0
11,EE6 0,0.24702380952380953,1.5,75.0,50.0,0.0,56.473214285714285,0.0
28,MK1 0,0.2113095238095238,1.5,75.0,50.0,0.0,59.151785714285715,0.0
26,LV6 0,0.1130952380952381,0.6,150.0,100.0,0.0,97.41071428571429,0.0
3,BA1 0,0.09226190476190477,1.1,150.0,100.0,0.0,113.83928571428571,0.0
1,AL1 0,0.0,1.3,151.5,100.0,1.5,114.66964285714286,1.5
2,AT1 0,0.0,1.0,902.0,600.0,2.0,179.23214285714286,2.0
4,BE1 0,0.0,99.0,5251.0,3500.0,1.0,439.8392857142857,1.0
5,BG1 0,0.0,0.5,228.5,150.0,3.5,126.49107142857143,3.5
6,CH1 0,0.0,0.5,1128.5,750.0,3.5,383.6934523809524,3.5
7,CZ1 0,0.0,1.0,378.0,250.0,3.0,87.6875,3.0
8,DE1 0,0.0,100.0,7053.0,4700.0,3.0,647.6428571428571,3.0
10,DK2 0,0.0,0.0,32.5,0.0,32.5,32.5,32.5
12,ES1 0,0.0,0.0,1952.0,1300.0,2.0,426.7767857142857,2.0
13,ES4 0,0.0,0.0,30.0,0.0,15.0,29.910714285714285,30.0
14,FI2 0,0.0,5.1,676.5,450.0,1.5,239.22321428571428,76.5
15,FR1 0,0.0,99.6,8327.0,5550.0,2.0,1067.4017857142858,2.0
16,GB0 0,0.0,2.6,2703.5,1800.0,3.5,735.8660714285714,3.5
17,GB5 0,0.0,2.1,152.5,100.0,2.5,42.1875,2.5
18,GR1 0,0.0,99.4,5328.0,3550.0,3.0,1926.2142857142858,3.0
19,HR1 0,0.0,0.5,153.0,100.0,3.0,79.11607142857143,3.0
20,HU1 0,0.0,0.2,153.5,100.0,3.4999999999999716,63.767857142857125,3.4999999999999716
22,IT1 0,0.0,0.8,2927.0,1950.0,2.0,1182.4464285714287,2.0
23,IT3 0,0.0,83.1,4202.5,2800.0,2.5,1123.169642857143,2.5
25,LU1 0,0.0,0.4,152.5,100.0,2.5,35.982142857142854,2.5
27,ME1 0,0.0,0.9,79.5,50.0,4.5,46.017857142857146,4.5
30,NO2 0,0.0,14.6,2208.5,1450.0,33.5,1642.607142857143,33.5
31,PL1 0,0.0,99.5,5176.0,3450.0,1.0,62.607142857142854,1.0
32,PT1 0,0.0,0.0,529.0,350.0,4.0,100.65178571428571,4.0
33,RO1 0,0.0,1.7,547.0,350.0,22.0,259.5,22.0
34,RS1 0,0.0,1.2,229.0,150.0,3.9999999999999716,78.10714285714283,3.9999999999999716
35,SE2 0,0.0,3.2,1204.0,800.0,4.0,487.0357142857143,4.0
36,SI1 0,0.0,0.3,152.5,100.0,2.5,91.78571428571429,2.5
37,SK1 0,0.0,0.3,227.0,150.0,2.0,79.90178571428571,2.0
