bus,installed_capacity_GW
1.0,0.037550000000000014
2.0,16.30741926833019
3.0,0.05516666666666666
4.0,21.520304536556125
5.0,13.916652144813709
6.0,14.91719821383395
7.0,17.11090028082554
8.0,14.300483831829352
9.0,20.630945812713975
10.0,13.3463564059194
11.0,8.0
12.0,0.0
13.0,0.0
14.0,19.738328480199357
15.0,14.90876718083852
16.0,15.336464483767244
17.0,16.5299021013136
18.0,16.985696841638266
19.0,10.630507424753214
20.0,16.30067905609282
21.0,13.66775716162366
22.0,9.825211873840171
23.0,20.640865479047626
24.0,10.1
25.0,6.35
26.0,0.021050000000000003
27.0,2.31
28.0,2.0
29.0,20.996678128256224
30.0,7.28740440764319
31.0,26.655918812119936
32.0,0.0
33.0,15.183158939242247
34.0,4.620000000000001
35.0,13.618415450306854
36.0,3.25
37.0,7.760000000000001
