H,b_block,carrier,cost_inv_block,gen_bus,gen_status,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,pg,pmax,pmin,q_block_max,q_block_min,qg,qmax,qmin,shutdown_block_cost,startup_block_cost,type
0.0,0.0,offwind-dc,2.1344257162772287e7,4,1,true,22,22,0.015000000000000003,14,24,0.0,false,clip_na0_to_n0,BE1 0 offwind-dc,100.0,0.41035240015908725,0.0,0.0,0.0,577.5197556747383,0.0,0.0,0.0,0.0,577.5197556747383,-577.5197556747383,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,4,1,true,23,23,0.015000000000000001,48,310,1.0,false,clip_na0_to_n0,BE1 0 onwind,50.0,0.10601082079312757,0.0,0.0,0.0,258.43529914590226,0.0,0.0,0.0,0.0,258.43529914590226,-258.43529914590226,0.0,0.0,gfl
2.7,2.5,ror,1.4957011246461473e7,4,1,true,24,24,0.0,1,1,1.0,false,clip_na0_to_n0,BE1 0 ror,50.0,0.8517107787311644,15.0,0.0,0.0,68.03141758964816,0.0,25.0,-25.0,0.0,68.03141758964816,-68.03141758964816,0.0,0.0,gfm
0.0,0.0,solar,1.7801035621902226e6,4,1,true,25,25,0.010000000000000002,112,2120,1.0,false,clip_na0_to_n0,BE1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
4.0,15.0,CCGT,2.970831878794573e7,5,1,true,26,26,42.246743185547565,0,0,0.0,true,clip_na0_to_n0,BG1 0 CCGT,300.0,1.0,150.0,0.44999999999999996,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,16.5,gfm
4.0,15.0,OCGT,1.352863245453675e7,5,1,true,27,27,53.39878480712948,0,0,0.0,true,clip_na0_to_n0,BG1 0 OCGT,300.0,1.0,150.0,0.19999999999999998,0.0,0.0,0.0,150.0,-150.0,0.0,0.0,-0.0,0.0,21.0,gfm
4.2,15.0,coal,1.0499296608895715e8,5,1,true,28,28,28.196531007679717,1,1,1.0,false,clip_na0_to_n0,BG1 0 coal,300.0,1.0,120.0,0.325,0.0,160.41703044199232,52.13553489364751,150.0,-150.0,0.0,160.41703044199232,-160.41703044199232,0.0,30.0,gfm
3.8,22.5,lignite,1.574894491334357e8,5,1,true,29,29,12.196852247850154,3,3,1.0,false,clip_na0_to_n0,BG1 0 lignite,450.0,1.0,270.0,0.4,0.0,1455.136725502029,582.0546902008117,225.0,-225.0,0.0,1455.136725502029,-1455.136725502029,0.0,45.0,gfm
5.9,65.0,nuclear,9.188044017996469e8,5,1,true,30,30,11.378787878787877,1,1,1.0,false,clip_na0_to_n0,BG1 0 nuclear,1300.0,0.894,520.0,0.5,0.0,1859.52,1040.0,650.0,-650.0,0.0,1859.52,-1859.52,0.0,260.0,gfm
0.0,0.0,offwind-ac,1.8938226140537657e7,5,1,true,31,31,0.015000000000000005,0,15,0.0,true,clip_na0_to_n0,BG1 0 offwind-ac,100.0,0.30030227021835443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
