H,b_block,carrier,cost_inv_block,gen_bus,gen_status,gscr_rhs_uses_nameplate,id,index,marginal_cost,n_block0,n_block_max,na0,na0_corrected,na0_correction_policy,name,p_block_max,p_block_max_pu,p_block_min,p_block_min_pu,pg,pmax,pmin,q_block_max,q_block_min,qg,qmax,qmin,shutdown_block_cost,startup_block_cost,type
0.0,0.0,solar,1.7801035621902226e6,7,1,true,49,49,0.010000000000000002,41,4189,1.0,false,clip_na0_to_n0,CZ1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,8,1,true,55,55,0.015000000000000005,10,41,1.0,false,clip_na0_to_n0,DE1 0 offwind-ac,100.0,0.849464577199084,0.0,0.0,0.0,914.5102575728605,0.0,0.0,0.0,0.0,914.5102575728605,-914.5102575728605,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,8,1,true,56,56,0.015000000000000003,66,212,0.0,false,clip_na0_to_n0,DE1 0 offwind-dc,100.0,0.8797956499728905,0.0,0.0,0.0,5868.613041993922,0.0,0.0,0.0,0.0,5868.613041993922,-5868.613041993922,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,8,1,true,58,58,0.015000000000000001,1087,9784,1.0,false,clip_na0_to_n0,DE1 0 onwind,50.0,0.1739954469908403,0.0,0.0,0.0,9459.085650013909,0.0,0.0,0.0,0.0,9459.085650013909,-9459.085650013909,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,8,1,true,60,60,0.010000000000000002,1074,21583,1.0,false,clip_na0_to_n0,DE1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,9,1,true,65,65,0.015000000000000005,4,133,1.0,false,clip_na0_to_n0,DK1 0 offwind-ac,100.0,0.884841460724771,0.0,0.0,0.0,399.5449168389687,0.0,0.0,0.0,0.0,399.5449168389687,-399.5449168389687,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,9,1,true,66,66,0.015000000000000003,9,242,0.0,false,clip_na0_to_n0,DK1 0 offwind-dc,100.0,0.8855000000000001,0.0,0.0,0.0,832.5424751124319,0.0,0.0,0.0,0.0,832.5424751124319,-832.5424751124319,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,9,1,true,67,67,0.015000000000000001,75,1237,1.0,false,clip_na0_to_n0,DK1 0 onwind,50.0,0.7689368485665921,0.0,0.0,0.0,2904.1382916681187,0.0,0.0,0.0,0.0,2904.1382916681187,-2904.1382916681187,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,9,1,true,68,68,0.010000000000000002,20,2303,1.0,false,clip_na0_to_n0,DK1 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
0.0,0.0,offwind-ac,1.8938226140537657e7,10,1,true,72,72,0.015000000000000005,2,70,1.0,false,clip_na0_to_n0,DK2 0 offwind-ac,100.0,0.8815162493242118,0.0,0.0,0.0,197.14933897108284,0.0,0.0,0.0,0.0,197.14933897108284,-197.14933897108284,0.0,0.0,gfl
0.0,0.0,offwind-dc,2.1344257162772287e7,10,1,true,73,73,0.015000000000000003,1,25,0.0,false,clip_na0_to_n0,DK2 0 offwind-dc,100.0,0.8855000000000001,0.0,0.0,0.0,75.63335173237799,0.0,0.0,0.0,0.0,75.63335173237799,-75.63335173237799,0.0,0.0,gfl
0.0,0.0,onwind,4.804294400998315e6,10,1,true,74,74,0.015000000000000001,15,233,1.0,false,clip_na0_to_n0,DK2 0 onwind,50.0,0.7213119627784026,0.0,0.0,0.0,546.2763163259219,0.0,0.0,0.0,0.0,546.2763163259219,-546.2763163259219,0.0,0.0,gfl
0.0,0.0,solar,1.7801035621902226e6,10,1,true,75,75,0.010000000000000002,5,583,1.0,false,clip_na0_to_n0,DK2 0 solar,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,gfl
