carrier,generation,storage_discharge,storage_charge
CCGT,4.534918518785191e7,0.0,0.0
OCGT,95700.0,0.0,0.0
PHS,0.0,6.313794136751504e6,2.8218365259693325e6
battery_gfl,0.0,-1.6342482922482304e-13,-1.7053025658242404e-13
battery_gfm,0.0,252.42357097678882,252.42357097678908
biomass,4.957846018664059e6,0.0,0.0
coal,6.626309212543127e6,0.0,0.0
geothermal,5880.0,0.0,0.0
hydro,0.0,3.3070363337149326e7,184150.66988240188
lignite,1.1060398125643058e7,0.0,0.0
nuclear,1.024000312629854e7,0.0,0.0
offwind-ac,536262.1399885435,0.0,0.0
offwind-dc,935542.9558264918,0.0,0.0
oil,708371.9508504071,0.0,0.0
onwind,2.67745617524624e6,0.0,0.0
ror,1.4597575185177457e7,0.0,0.0
solar,1.3057120347396883e6,0.0,0.0
