snapshot,bus,margin,sigma0_G,battery_gfm_contribution
3.0,21.0,-7.105427357601002e-13,0.0,0.0
49.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
50.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
54.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
55.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
56.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
57.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
58.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
59.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
60.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
61.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
62.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
63.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
64.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
65.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
66.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
67.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
68.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
69.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
70.0,8.0,-4.547473508864641e-13,1.1368683772161603e-13,0.0
