metric,unit,BASE,gSCR-GERSH-1.0,gSCR-GERSH-1.5,delta_gSCR_1p5_vs_BASE,delta_gSCR_1p5_vs_BASE_percent
Wind generation,TWh/a equiv.,1255.1242873686595,174.22876887468678,175.18679065083708,-1079.9374967178223,-86.04227546117266
Solar PV generation,TWh/a equiv.,929.501704094995,111.17015789011887,136.57675394519643,-792.9249501497986,-85.3064547011053
Gas generation,TWh/a equiv.,44.828418915098005,1312.8895708219547,1305.8942970998194,1261.0658781847214,2813.094703547531
BESS discharge,TWh/a equiv.,0.0,961.9396482153217,6322.202308428716,6322.202308428716,n/a
BESS charge,TWh/a equiv.,0.0,962.2155602153216,6322.486592428716,6322.486592428716,n/a
Curtailment,TWh/a equiv.,,,,,n/a
