region_id,region_name,region_code,legend_label,selection_reason,wind_exposure_sum,solar_exposure_sum,gfl_exposure_sum,max_local_utilization,max_local_rho_dec
16,GB0 0,UK,UK,top_wind_exposure,951889.3649100121,0.0,951889.3649100121,1.0000000000000002,1.461950455570518
4,BE1 0,BE,BE,top_wind_exposure,631735.682672105,0.0,631735.682672105,1.0,1.141050510754954
6,CH1 0,CH,CH,top_solar_exposure,0.0,600977.3606593469,600977.3606593469,1.0000000000000002,3.764257487704202
18,GR1 0,GR,GR,top_solar_exposure,0.0,527750.4265179733,527750.4265179733,1.0000000000000002,1.0000000000000002
1,AL1 0,AL,AL,top_local_utilization,0.0,113.4,145.4,1.0000000000000002,57.699999999999996
