metric,unit,BASE,gSCR-GERSH-1.0,gSCR-GERSH-1.5,delta_gSCR_1p5_vs_BASE,delta_gSCR_1p5_vs_BASE_percent
Delta cost vs BASE,B€/a,--,174.77729222677635,345.80923086817296,--,n/a
Delta cost vs BASE (%),%,--,n/a,n/a,--,n/a
BESS-GFM,GW,0.0,414.8031829821719,821.1497744732582,821.1497744732582,n/a
BESS-GFL,GW,0.0,0.002,0.001,0.001,n/a
Wind,GW,0.0,0.0,0.0,0.0,n/a
Solar PV,GW,0.0,0.05460000000000001,0.006700000000000006,0.006700000000000006,n/a
Gas,GW,0.0,0.0,0.0,0.0,n/a
Total BESS,GW,0.0,414.8051829821719,821.1507744732581,821.1507744732581,n/a
Solve time,min,0.44740000168482463,5.739483332633972,0.5210166692733764,0.07361666758855179,16.45432885814153
