carrier,generation,storage_discharge,storage_charge
CCGT,2.9863762182919784e6,0.0,0.0
OCGT,6900.0,0.0,0.0
PHS,0.0,1.295716e6,0.0
battery_gfl,0.0,0.0,0.0
battery_gfm,0.0,5.0,5.000000000000086
biomass,357142.60870751075,0.0,0.0
coal,534240.1631454066,0.0,0.0
geothermal,800.0,0.0,0.0
hydro,0.0,2.304459425759015e6,0.0
lignite,856601.7059516606,0.0,0.0
nuclear,594008.672006302,0.0,0.0
offwind-ac,28169.587029866543,0.0,0.0
offwind-dc,18647.717424830105,0.0,0.0
oil,48597.350360710574,0.0,0.0
onwind,42149.99956044825,0.0,0.0
ror,1.0963724155378537e6,0.0,0.0
solar,88124.37561090528,0.0,0.0
