bus,region_name,beta_i,gfm_bess_capacity_GW,min_kappa,mean_kappa,p05_kappa
1,AL1 0,1.0,0.0,0.0,0.0,0.0
3,BA1 0,1.0,0.0,0.0,0.0,0.0
4,BE1 0,1.0,0.0,-5.684341886080802e-14,-2.3684757858670005e-15,0.0
9,DK1 0,1.0,0.0,0.0,0.0,0.0
10,DK2 0,1.0,0.0,0.0,2.960594732333751e-14,0.0
11,EE6 0,1.0,0.0,0.0,0.0,0.0
14,FI2 0,1.0,0.0,-2.2737367544323206e-13,-4.500103993147301e-14,-2.2737367544323206e-13
17,GB5 0,1.0,0.0,0.0,0.0,0.0
19,HR1 0,1.0,0.0,0.0,0.0,0.0
20,HU1 0,1.0,0.0,0.0,0.0,0.0
24,LT6 0,1.0,0.0,0.0,0.0,0.0
25,LU1 0,1.0,0.0,0.0,0.0,0.0
26,LV6 0,1.0,0.0,0.0,0.0,0.0
27,ME1 0,1.0,0.0,-7.105427357601002e-15,-2.0724163126336257e-15,-7.105427357601002e-15
28,MK1 0,1.0,0.0,0.0,0.0,0.0
29,NL1 0,1.0,0.0,0.0,0.0,0.0
32,PT1 0,1.0,0.0,0.0,0.0,0.0
33,RO1 0,0.9583333333333334,0.0,0.0,11.854166666666666,0.0
5,BG1 0,0.9166666666666666,0.0,0.0,7.166666666666667,0.0
15,FR1 0,0.9166666666666666,0.0,0.0,136.7456506033004,0.0
16,GB0 0,0.9166666666666666,0.0,0.0,44.27710234082169,0.0
21,IE5 0,0.9166666666666666,0.0,0.0,5.2912112261134325,0.0
23,IT3 0,0.9166666666666666,4.2411523877493895,-5.684341886080802e-14,0.002777777777772883,-7.105427357601002e-15
35,SE2 0,0.9166666666666666,0.0,-3.410605131648481e-13,13.291666666666595,-1.1368683772161603e-13
36,SI1 0,0.9166666666666666,0.0,0.0,1.875,0.0
6,CH1 0,0.8333333333333334,0.0,0.0,35.979166666666664,0.0
37,SK1 0,0.8333333333333334,0.0,0.0,8.25,0.0
12,ES1 0,0.7916666666666666,0.0,0.0,113.75313684578434,0.0
18,GR1 0,0.7916666666666666,0.0,0.0,22.9375,0.0
34,RS1 0,0.7916666666666666,0.0,0.0,16.979166666666668,0.0
31,PL1 0,0.75,0.0,0.0,98.64637253320042,0.0
8,DE1 0,0.7083333333333334,0.0,0.0,70.60969166634834,0.0
13,ES4 0,0.7083333333333334,0.0,0.0,0.8395393635016993,0.0
22,IT1 0,0.6666666666666666,0.0,0.0,335.6506984988497,0.0
7,CZ1 0,0.4166666666666667,0.0,0.0,32.25,0.0
2,AT1 0,0.375,0.0,0.0,187.375,0.0
30,NO2 0,0.0,0.0,1166.9839844676421,1273.2284993528185,1263.5
