metric,unit,BASE,gSCR-GERSH-1.0,gSCR-GERSH-1.5,delta_gSCR_1p5_vs_BASE,delta_gSCR_1p5_vs_BASE_percent
Wind generation,TWh/a equiv.,1247.518305921643,149.06453420406322,150.13276989635494,-1097.3855360252883,-87.96548562183706
Solar PV generation,TWh/a equiv.,931.8667901152224,100.90491364351517,107.97826007119173,-823.8885300440307,-88.41269361494892
Gas generation,TWh/a equiv.,39.39312337995451,1238.366402844305,1222.3828792784784,1182.989755898524,3003.0362012383544
BESS discharge,TWh/a equiv.,0.0,317.9334158999625,386.652968,386.652968,n/a
BESS charge,TWh/a equiv.,0.0,317.95707660717926,386.65741399999996,386.65741399999996,n/a
Curtailment,TWh/a equiv.,,,,,n/a
