alpha_paper,bus,scenario_name,GFL_exposure_pmaxpu,t,sigma_i_G,kappa_alpha_1p5_pmaxpu,rho_local_dec_pmaxpu,u_local_dec_pmaxpu,GFM_strength_pmaxpu,hour
1.5,2,BASE,55.75865085715193,1,0.0,389.1439131180831,5.652717944641221,0.1769060494072591,472.78188940381096,1
1.5,4,BASE,1113.519274497716,1,0.0,-1592.149634799746,0.04677618593958648,21.378399711587093,78.12927694682791,1
1.5,5,BASE,106.00852163874706,1,1.4210854715202004e-14,35.43179663811975,1.2228235748748781,0.8177794577621895,194.44457909624032,1
1.5,7,BASE,13.590947429487676,1,0.0,135.11661207797414,7.627774984242705,0.13109982951329566,155.50303322220566,1
1.5,8,BASE,16112.76841097233,1,0.0,-23636.076530201262,0.0220560519732174,45.33902990500281,533.0760862572319,1
1.5,9,BASE,4034.3997664146286,1,0.0,-6036.599649621943,0.0024786834669304476,403.43997664146286,15.0,1
1.5,10,BASE,805.8372219486444,1,0.0,-1206.2558329229664,0.002068242346309591,483.50233316918656,2.5,1
1.5,12,BASE,8477.210990009546,1,0.0,-11512.818148902199,0.09460645626097718,10.57010313589428,1202.9983361121197,1
1.5,13,BASE,41.80420409685108,1,-0.0,-47.70630614527662,0.23921039082175122,4.180420409685108,15.0,1
1.5,14,BASE,1122.1692146201271,1,0.0,-1502.6030791196154,0.10732234227362261,9.317724332277988,180.65074281057534,1
1.5,15,BASE,2274.1076241759583,1,2.842170943040401e-14,-2545.942214305026,0.2536435868325657,3.9425400519198472,865.2192219589117,1
1.5,16,BASE,7994.365167647951,1,-0.0,-11866.044204521033,0.010466000682479899,95.5474808705107,125.50354695089548,1
1.5,17,BASE,204.3034596724932,1,0.0,-288.9551895087398,0.0571045966885182,17.511725114785133,17.5,1
1.5,18,BASE,436.78804503624036,1,7.105427357601002e-15,-493.20621617804363,0.24722265672034396,4.044936711165558,161.97585137631688,1
1.5,19,BASE,10.302802133748193,1,0.0,110.11136102473114,8.125010561547251,0.12307676309156321,125.56556422535343,1
1.5,20,BASE,31.39593739130604,1,0.0,30.603661291850003,1.6498433414153464,0.6061181537042982,77.69756737880907,1
1.5,21,BASE,1019.9828431033686,1,0.0,-1493.2851962891457,0.0239801866041056,41.70109334465279,36.68906836590742,1
1.5,22,BASE,951.5399601909611,1,-1.4210854715202004e-14,-739.3492444767523,0.48199811154655375,2.0746969252459717,687.9606958096892,1
1.5,23,BASE,1827.968268695767,1,-0.0,-2711.1831082739927,0.011221673554764415,89.11326774208536,30.76929476965767,1
1.5,24,BASE,309.51080721868306,1,0.0,-399.4659277311733,0.1395757037353185,7.164570718527985,64.80028309685127,1
1.5,25,BASE,14.220938558267182,1,0.0,111.16859216259923,6.211498135049725,0.16099175726340206,132.5,1
1.5,26,BASE,39.600416624808055,1,0.0,-19.084924483682585,0.6787083552764669,1.4733869006116143,40.3157004535295,1
1.5,29,BASE,1846.1037242798463,1,0.0,-2697.7355864197693,0.025791255771344595,38.77283094959072,71.42,1
1.5,30,BASE,1518.885987978394,1,0.0,-799.8289819675911,0.6489405225066094,1.5409732715370923,1478.5,1
1.5,31,BASE,4011.069200019419,1,0.0,-5905.603800029128,0.018448946231005375,54.203637838100256,111.0,1
1.5,32,BASE,682.4131520047176,1,0.0,-736.4530649432718,0.2805403756948883,3.5645493006952615,287.1666630638046,1
1.5,33,BASE,500.6821611320858,1,0.0,-444.0400454133421,0.4087532572103507,2.446463685267674,306.9831962847866,1
1.5,34,BASE,1.1984391820649758,1,-2.842170943040401e-14,167.20234122690252,94.01116748580922,0.010637034160340023,169.0,1
1.5,35,BASE,6243.355121326114,1,0.0,-8736.383210815668,0.06712731204692124,14.897066030306878,628.6494711735028,1
1.5,36,BASE,1.1538888667021356,1,0.0,105.1863818737542,61.77210432138145,0.016188537058690836,106.9172151738074,1
1.5,37,BASE,2.5956137769891643,1,0.0,148.87541539590188,39.23769075757051,0.025485699609043892,152.76883606138563,1
1.5,2,BASE,122.9540293453368,2,0.0,288.3306441177274,2.563352014043682,0.390114192089639,472.7616881357326,2
1.5,4,BASE,1029.9254922487385,2,0.0,-1466.7593944203022,0.05057248933106085,19.77359653889561,78.12884395280538,2
1.5,5,BASE,108.94934839542239,2,1.4210854715202004e-14,31.01199558867961,1.1897639961163373,0.8405028251520718,194.43601818181318,2
1.5,6,BASE,0.05432701296284571,2,0.0,762.3114042684456,9355.602344752398,0.0001068878264755347,762.3928947878899,2
1.5,7,BASE,20.323994951032905,2,0.0,125.01699245508087,5.100801138630712,0.19604763503257172,155.50298488163023,2
1.5,8,BASE,16459.83902126598,2,0.0,-24156.682824832562,0.021590964787188128,46.3156699969883,533.0757070664083,2
1.5,9,BASE,3506.668926367752,2,0.0,-5245.003389551628,0.0028517091889704326,350.66689263677523,15.0,2
1.5,10,BASE,689.1583196672624,2,0.0,-1031.2374795008936,0.0024184089767230296,413.49499180035747,2.5,2
1.5,12,BASE,8092.528554775573,2,0.0,-10935.828865214111,0.0991007906290182,10.09073685136862,1202.963966949248,2
1.5,13,BASE,16.667768475584612,2,-0.0,-10.00165271337692,0.5999603375009837,1.6667768475584614,15.0,2
1.5,14,BASE,1159.9474640833193,2,0.0,-1559.2815147613778,0.10382061082186256,9.631998811062859,180.63968136360103,2
1.5,15,BASE,2284.2550080143137,2,2.842170943040401e-14,-2561.1757536045143,0.2525131842056094,3.9601892596061354,865.2067584169563,2
1.5,16,BASE,7782.849307354465,2,-0.0,-11548.787576156588,0.01074896694166827,93.03219606374537,125.4863848751084,2
1.5,17,BASE,183.9381290072159,2,0.0,-258.40719351082384,0.06342712481439335,15.766125343475649,17.5,2
1.5,18,BASE,447.7670950979761,2,7.105427357601002e-15,-509.7110420383111,0.24110689445699285,4.147537971703973,161.939600608653,2
1.5,19,BASE,11.413634043854893,2,0.0,108.44251870245748,7.334092383768748,0.1363495232502284,125.56296976823981,2
1.5,20,BASE,29.966987937878056,2,0.0,32.750985809461376,1.7286014391871167,0.578502353017972,77.70146771627846,2
1.5,21,BASE,944.6768940062766,2,0.0,-1380.3302188629425,0.025889008456563056,38.62643104612578,36.685122146472324,2
1.5,22,BASE,980.6886089613738,2,-1.4210854715202004e-14,-783.0977636729249,0.46765449194433095,2.1383307916970438,687.9351497691359,2
1.5,23,BASE,1879.8966815779222,2,-0.0,-2789.0759087875495,0.010911632850484505,91.64531227382686,30.7691135793337,2
1.5,24,BASE,309.17945715758,2,0.0,-398.96914057867355,0.13972477506198983,7.156926891142558,64.80004515769647,2
1.5,25,BASE,11.511384759403052,2,0.0,115.23292286089543,7.673562753705927,0.13031756331399683,132.5,2
1.5,26,BASE,41.099803064048935,2,0.0,-21.338526330209,0.653874637842659,1.529345140682194,40.311178265864406,2
1.5,29,BASE,2005.8155343358296,2,0.0,-2937.3033015037445,0.023737643127337317,42.12718148283036,71.42,2
1.5,30,BASE,1534.8508107546563,2,0.0,-823.7762161319843,0.64219053719106,1.5571702510192655,1478.5,2
1.5,31,BASE,4094.479346943835,2,0.0,-6030.719020415752,0.01807311595190593,55.3308019857275,111.0,2
1.5,32,BASE,581.4062880891538,2,0.0,-584.9868308198211,0.3292277215846941,3.037411294488302,287.12260131390957,2
1.5,33,BASE,503.70032369742324,2,0.0,-448.5809681253777,0.40628591112461565,2.461320889104818,306.96951742075714,2
1.5,34,BASE,2.173303651132867,2,-2.842170943040401e-14,165.74004452330067,51.84119881634464,0.01928967737691894,169.0,2
1.5,35,BASE,5891.044540597114,2,0.0,-8207.92676216376,0.07114075660660252,14.056639930466957,628.6400487319107,2
1.5,36,BASE,0.8635129300391784,2,0.0,105.61883834147004,82.541985585692,0.012115046577863546,106.9141077365288,2
1.5,37,BASE,2.9477350118823513,2,0.0,148.35081382789141,34.55136813630074,0.028942413974900435,152.77241634571493,2
1.5,2,BASE,175.64747013945785,3,0.0,209.2705203720363,1.7942823209309835,0.5573258947795566,472.7417255812231,3
1.5,4,BASE,956.9147299564434,3,0.0,-1357.2436762106006,0.05443077721782004,18.371958864342854,78.12841872406439,3
1.5,5,BASE,113.80842879862875,3,1.4210854715202004e-14,23.71639627717144,1.138925833686917,0.8780202980933465,194.42903947511454,3
1.5,6,BASE,0.10082256025223833,3,0.0,762.2336564538734,5041.099851639778,0.00019836940934124091,762.3848902942518,3
1.5,7,BASE,24.03757128618537,3,0.0,119.44658332587346,4.312774597837472,0.23186929372599804,155.50294025515151,3
1.5,8,BASE,16250.638860190633,3,0.0,-23842.8829704623,0.021868896946549435,45.727043409831616,533.0753198236507,3
1.5,9,BASE,3244.197365887995,3,0.0,-4851.296048831993,0.0030824265210087857,324.41973658879954,15.0,3
1.5,10,BASE,611.0478612873703,3,0.0,-914.0717919310555,0.0027275550284314772,366.6287167724222,2.5,3
1.5,12,BASE,7581.225252735492,3,0.0,-10168.912986418725,0.10578104484720044,9.453489530610035,1202.9248926845123,3
1.5,13,BASE,13.238246605049216,3,-0.0,-4.857369907573826,0.75538704621093,1.3238246605049218,15.0,3
1.5,14,BASE,1212.207404719388,3,0.0,-1637.6824824442642,0.09933867968555603,10.06657228750546,180.6286246348177,3
1.5,15,BASE,2324.2566908843082,3,2.842170943040401e-14,-2621.1862060006647,0.24816502517961733,4.029576687030004,865.1988303257976,3
1.5,16,BASE,7530.3648802778,3,-0.0,-11170.07822642449,0.011107836604378028,90.02653132346774,125.46909399220876,3
1.5,17,BASE,178.40746693511338,3,0.0,-250.11120040267008,0.06539337656147443,15.292068594438291,17.5,3
1.5,18,BASE,467.0664631753029,3,7.105427357601002e-15,-538.6911661681797,0.2310999131245066,4.3271327387355765,161.90852859477457,3
1.5,19,BASE,9.389746427199901,3,0.0,111.4758122592678,8.914719396209211,0.11217402988872853,125.56043190006764,3
1.5,20,BASE,30.421386381360318,3,0.0,32.073289631175165,1.7028671481110187,0.5872448717501506,77.70536920321564,3
1.5,21,BASE,856.9874222511147,3,0.0,-1248.799964669487,0.028534972435442663,35.044715822396306,36.68116870718493,3
1.5,22,BASE,1008.7418160373434,3,-1.4210854715202004e-14,-825.1989224780314,0.45463486668328174,2.1995673303619347,687.9138015779836,3
1.5,23,BASE,1888.0023283724324,3,-0.0,-2816.234530393426,0.0055681294908912216,179.5935244745794,15.768962165222751,3
1.5,24,BASE,331.8483427472246,3,0.0,-432.9727045005477,0.1301795655285191,7.681697169137694,64.79980962028918,3
1.5,25,BASE,11.653928536147331,3,0.0,115.019107195779,7.579704394045944,0.1319312664469509,132.5,3
1.5,26,BASE,42.743032763239725,3,0.0,-23.808018107106534,0.6286643449162372,1.590673955166392,40.30653103775305,3
1.5,29,BASE,2135.8426193734877,3,0.0,-3132.3439290602314,0.022292528907068947,44.858077976200384,71.42,3
1.5,30,BASE,1576.229513070087,3,0.0,-885.8442696051306,0.6253319446778046,1.5991506727122966,1478.5,3
1.5,31,BASE,4075.655137580906,3,0.0,-6002.482706371358,0.018156590168206064,55.076420778120344,111.0,3
1.5,32,BASE,549.4676380551168,3,0.0,-537.1523393752116,0.3482754310135488,2.871290682463034,287.04911770746367,3
1.5,33,BASE,526.8006044057199,3,0.0,-483.25148171123647,0.3884447895848701,2.574368422005859,306.9494248973434,3
1.5,34,BASE,2.704604531834884,3,-2.842170943040401e-14,164.94309320224764,41.65735335444041,0.024005365667173532,169.0,3
1.5,35,BASE,5821.57631417953,3,0.0,-8103.733854426053,0.0719885912814937,13.891089993548364,628.630616843242,3
1.5,36,BASE,0.5824698765951091,3,0.0,106.03725656035216,122.36508206536443,0.008172266002043169,106.91096137524482,3
1.5,37,BASE,2.8555892993730505,3,0.0,148.49231814885357,35.667057614915734,0.02803707585853133,152.77570209791315,3
1.5,2,BASE,216.07760688743465,4,0.0,148.6054381069552,1.4584940267452795,0.6856387353409752,472.7218484381072,4
1.5,4,BASE,688.9199780304871,4,0.0,-955.251977328572,0.0756043200068162,13.22675741161145,78.1279897171586,4
1.5,5,BASE,112.3081635118906,4,1.4210854715202004e-14,25.960985608490887,1.1541056606910103,0.8664717920205495,194.42323087632678,4
1.5,6,BASE,0.029548000749859395,4,0.0,762.3325902519944,17200.868483050624,5.8136599380745164e-5,762.3769122531191,4
1.5,7,BASE,26.90186231272344,4,0.0,115.15010033653078,3.853584360268611,0.25949866579028147,155.50289380561594,4
1.5,8,BASE,15517.039825321768,4,0.0,-22742.484805052813,0.02290277608490463,43.66282918248965,533.0749329298382,4
1.5,9,BASE,3186.846791567345,4,0.0,-4765.270187351018,0.0031378979455368894,318.6846791567345,15.0,4
1.5,10,BASE,572.868964982872,4,0.0,-856.8034474743079,0.0029093331434292273,343.7213789897231,2.5,4
1.5,12,BASE,7344.296064179892,4,0.0,-9813.547199544622,0.10919103171707782,9.15826129925281,1202.8968967252144,4
1.5,13,BASE,20.820322231801253,4,-0.0,-16.230483347701878,0.48029996311612605,2.0820322231801254,15.0,4
1.5,14,BASE,1265.5774788272047,4,0.0,-1717.7486154969708,0.09514370884202325,10.510416423437954,180.6176027438361,4
1.5,15,BASE,2421.3563447928886,4,2.842170943040401e-14,-2766.8418262484415,0.23821158274961138,4.1979486826680406,865.1926909408917,4
1.5,16,BASE,7092.291650470725,4,-0.0,-10512.98569556963,0.011792312585653508,84.80100851605621,125.45178013645682,4
1.5,17,BASE,167.98095502951844,4,0.0,-234.47143254427766,0.06945231776195428,14.398367573958723,17.5,4
1.5,18,BASE,465.647921732539,4,7.105427357601002e-15,-536.5896159696442,0.23176633256423698,4.314690528758474,161.88226662916412,4
1.5,19,BASE,8.256103483913602,4,0.0,113.17404543238158,10.138616511844255,0.09863278671520599,125.55820065825198,4
1.5,20,BASE,29.617224613413896,4,0.0,33.28343920377537,1.7491910453734416,0.5716928420397362,77.70927612389622,4
1.5,21,BASE,755.9937401017442,4,0.0,-1097.3134082726529,0.0323434793477058,30.91813311887647,36.67720187996345,4
1.5,22,BASE,1040.006527765,4,-1.4210854715202004e-14,-872.1166735371951,0.4409543592568305,2.2678084001377514,687.8931181103051,4
1.5,23,BASE,1865.0695401916912,4,-0.0,-2781.8354948214537,0.005636542454591314,177.4137262437255,15.768815466083353,4
1.5,24,BASE,343.1248828525022,4,0.0,-449.88774589525156,0.1259008631586319,7.94275730055977,64.79957838350171,4
1.5,25,BASE,13.165989649138373,4,0.0,112.75101552629243,6.709205740497766,0.149048939424208,132.5,4
1.5,26,BASE,43.8263879133159,4,0.0,-25.43765025820734,0.6130542736258894,1.6311769496125241,40.301931611766506,4
1.5,29,BASE,2203.5857782251787,4,0.0,-3233.958667337768,0.021607206673698115,46.28085504533419,71.42,4
1.5,30,BASE,1594.0702379894553,4,0.0,-912.6053569841829,0.6183332723844424,1.6172508332662718,1478.5,4
1.5,31,BASE,3885.051832738908,4,0.0,-5716.577749108363,0.019047364922241208,52.50070044241768,111.0,4
1.5,32,BASE,533.4109334818237,4,0.0,-513.1584181836381,0.3586452945586597,2.7882702357229476,286.95798203909743,4
1.5,33,BASE,524.9952795330337,4,0.0,-480.56519037781334,0.3897530014552251,2.5657275152886285,306.9277289217372,4
1.5,34,BASE,2.7553816028302465,4,-2.842170943040401e-14,164.8669275957546,40.88967805800067,0.024456049729262547,169.0,4
1.5,35,BASE,5887.724372078929,4,0.0,-8202.965386631095,0.0711787363856431,14.049139543332805,628.6211714872982,4
1.5,36,BASE,0.4968791439621727,4,0.0,106.1625958208881,143.43919218710488,0.0069715953133337545,106.90791453683136,4
1.5,37,BASE,2.3995871058281266,4,0.0,149.17992657191883,42.44599883026821,0.023559346641806454,152.779307230661,4
1.5,2,BASE,229.37223563548778,5,0.0,128.64370179561928,1.3739008238121617,0.727854574848642,472.70205524885097,5
1.5,4,BASE,469.28281100533906,5,0.0,-625.796657558138,0.11098859382540044,9.009934854865634,78.1275589498706,5
1.5,5,BASE,114.83371209473871,5,1.4210854715202004e-14,22.16718458104947,1.1286915034309866,0.8859816849512988,194.41775272315752,5
1.5,6,BASE,0.017669739951690872,5,0.0,762.3425836277219,28763.641129674008,3.476611307628748e-5,762.3690882376494,5
1.5,7,BASE,25.824452789005182,5,0.0,116.76616746173657,4.014356674937949,0.24910591683173175,155.50284664524435,5
1.5,8,BASE,15188.338153864683,5,0.0,-22249.43268754943,0.023398414311792376,42.73793884810468,533.0745432475944,5
1.5,9,BASE,2928.380256167124,5,0.0,-4377.570384250686,0.0034148570626851317,292.8380256167124,15.0,5
1.5,10,BASE,573.6970724262978,5,0.0,-858.0456086394468,0.002905133644168598,344.2182434557787,2.5,5
