metric,unit,BASE,gSCR-GERSH-1.0,gSCR-GERSH-1.5,delta_gSCR_1p5_vs_BASE,delta_gSCR_1p5_vs_BASE_percent
Delta cost vs BASE,B€/a,--,176.07726276307238,347.9705146863941,--,n/a
Delta cost vs BASE (%),%,--,8.668419089874333e12,1.7130856107637863e13,--,n/a
BESS-GFM,GW,0.0,417.70000000000005,826.1,826.1,n/a
BESS-GFL,GW,0.0,0.0,0.0,0.0,n/a
Wind,GW,0.0,0.0,0.0,0.0,n/a
Solar PV,GW,0.0,0.1,0.05,0.05,n/a
Gas,GW,0.0,0.0,0.0,0.0,n/a
Total BESS,GW,0.0,417.70000000000005,826.1,826.1,n/a
Solve time,min,0.6740333318710328,4.739066668351492,6.407799998919169,5.733766667048137,850.6651519935837
