carrier,generation,storage_discharge,storage_charge
CCGT,2.2807017030636325e7,0.0,0.0
OCGT,45900.0,0.0,0.0
PHS,0.0,5.109031895059747e6,1.215486870380327e6
battery_gfl,0.0,0.0,-4.2632564145605973e-14
battery_gfm,0.0,6.0,6.000000000000118
biomass,2.4014489326842776e6,0.0,0.0
coal,3.314048451912382e6,0.0,0.0
geothermal,3640.0,0.0,0.0
hydro,0.0,1.6503367559001492e7,143613.84346436724
lignite,5.65264468545042e6,0.0,0.0
nuclear,4.460535005475457e6,0.0,0.0
offwind-ac,164291.19749215923,0.0,0.0
offwind-dc,105645.5549213831,0.0,0.0
oil,341531.3710114033,0.0,0.0
onwind,458764.22161815217,0.0,0.0
ror,7.086244730393504e6,0.0,0.0
solar,530268.3511393508,0.0,0.0
