branch_id,from_bus,to_bus,snapshot,flow,rating,loading_ratio
5.0,3.0,34.0,1.0,2189.658630928575,2189.658630928575,1.0
35.0,2.0,6.0,1.0,6792.41044696211,6792.41044696211,1.0
30.0,14.0,35.0,1.0,3396.205223481055,3396.205223481055,1.0
32.0,17.0,21.0,1.0,983.1120383760948,983.1120383760948,1.0
45.0,30.0,35.0,1.0,7283.966466150157,7283.966466150157,1.0
52.0,2.0,36.0,1.0,3887.761242669102,3887.761242669102,1.0
28.0,12.0,15.0,1.0,4379.31726185715,4379.31726185715,1.0
41.0,22.0,36.0,1.0,2189.658630928575,2189.658630928575,1.0
39.0,20.0,34.0,1.0,1698.1026117405274,1698.1026117405274,1.0
7.0,4.0,25.0,1.0,983.1120383760948,983.1120383760948,1.0
34.0,19.0,20.0,1.0,6792.41044696211,6792.41044696211,1.0
50.0,2.0,20.0,1.0,4379.31726185715,4379.31726185715,1.0
2.0,1.0,27.0,1.0,2189.658630928575,2189.658630928575,1.0
18.0,7.0,31.0,1.0,4379.31726185715,4379.31726185715,1.0
16.0,6.0,22.0,1.0,8267.078504526253,8267.078504526253,1.0
19.0,7.0,37.0,1.0,6077.419873597678,6077.419873597678,1.0
44.0,28.0,34.0,1.0,3396.205223481055,3396.205223481055,1.0
31.0,15.0,22.0,1.0,5585.86385440963,5585.86385440963,1.0
46.0,2.0,7.0,1.0,4379.31726185715,4379.31726185715,1.0
21.0,8.0,15.0,1.0,9473.625097078731,9473.625097078731,1.0
